"Group","SHA1","ID","Folder","FileName","Title","Transliterated Name","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
"@",,"b6f693e3333607181fbe3a43dffa9f30f9656998","@","@","Astro Invaders","@","","","1980","UA","eu","","","","","","","","",""
"@",,"bbffc4a6aa7b276ee10980364cc6d464be973bda","@","@","Tetris","@","","","2003","Trauner, Peter","@","","","","","","","","",""
"@",,"bdb7ce3d4552c82be3cf8db43d5ad103f9d9cc91","@","@","Pleiades","@","","","1983","UA","eu","","","","","","","","",""
"@",,"bf22e0fae67bc3c2147a669b194752e34fe3564d","@","@","Super Bug","@","","","1983","UA","eu","","","","","","","","","1"
"@",,"bf3ccf7a54409f22ca4295b1df1c01bfbbe9f0a2","@","@","Jump Bug","@","","","1982","UA","de","","","","","","","","",""
"@",,"c0341a1881ad058f2c72fed07e38a3b189de1811","@","@","Crazy Gobbler","@","","","1982","UA","eu","o","o 1","","","","","","",""
"@",,"c2c247b57c3d3a9321f7c16e48b1d733bd7d7dbb","@","@","Space Raiders","@","","","1982","UA","eu,us","","","","","","","","",""
"@",,"c431d5190e86f3dfbb3e8b1a3b9bec82bb5014ae","@","@","Tanks a Lot","@","","","1982","UA","eu,us","","","","","","","","",""
"@",,"c6e3f963ea9db520bcd682a3206cc291504c9e3d","@","@","Basketball","@","","","198x","UA","eu","","","","","","","","",""
"@",,"ca2efbcb1f1f580b7995aa47ab7da09fa4a1b9e2","@","@","Super Gobbler","@","","","1982","UA","eu","","","","","","","","",""
"@",,"cc3e46adc8a3ed2cbfd5f9bbbf96f61f4e2ecebe","@","@","Missile War","@","","","1982","UA","eu,us","","","","","","","","",""
"@",,"cebb340cb0a50b2815dafc6df8f46d814015a49f","@","@","Hobo","@","","","1983","UA","eu","","","","","","","","",""
"@",,"d0ace24fd1f3805e46b077e8a4770f922157c8c4","@","@","Jump Bug","@","","","1982","UA","eu","","","","","","","","",""
"@",,"d3df9ed4e09bacacde47fa4f1128383fd62ffd6e","@","@","3D Soccer","@","","","1983","UA","de","","","","","","","","",""
"@",,"de2c037c5ec9b31f2ae63a467dcd82647f92e908","@","@","Dictionary","@","","","198x","UA","@","","[German + English]","","","","","","",""
"@",,"e1daef4cc1e8c51cf542d900ba7139f5f472f2c8","@","@","R2D Tank","@","","","1982","UA","eu","","","","","","","","",""
"@",,"e2fe75ec968a586a9c4885df02481b00abef2bc7","@","@","Spiders","@","","","1982","UA","eu,us","","","","","","","","",""
"@",,"e56be2ecd8284cd43a44620d56d6615766f45451","@","@","Funky Fish","@","","","1983","UA","eu","","","","","","","","",""
"@",,"e76efb5f2707f67775d09d2d1547a4af0254b7b1","@","@","Space Squadron","@","","","1982","UA","eu","","","","","","","","",""
"@",,"e8abeb702d9a7b7e12e1cea02946dae267b23041","@","@","Circus","@","","","1983","UA","eu","a","a ka Acrobat","","","","","","",""
"@",,"e9560e064043946b6bc0a88087d4164adf62e773","@","@","Brain Quiz","@","","","1982","UA","eu,us","a","a ka Math Logic","","","","","","",""
"@",,"eadb3a791b100a208bbe8c445a96315cbeb7a097","@","@","Dictionary","@","","","198x","UA","@","","","","","","","","ain cart only",""
"@",,"edd33cabd3d600e9e3d3c22f326a065ea6ebe32c","@","@","3D Bowling","@","","","1982","UA","eu,us","","","","","","","","",""
"@",,"f130cd5e85e801519740ed8c7ac8b4444ce91201","@","@","Combat","@","","","198x","UA","eu","o","a ka Combat Zone; o 1","","","","","","",""
"@",,"f4d39aaab61e6b01c673166ae54841d450860b31","@","@","Baseball","@","","","1982","UA","eu,us","","","","","","","","",""
"@",,"f95b38de1e82fec8c3cf4730f11c05a7e99e5a5b","@","@","Spiders","@","","","1982","UA","eu,us","o","o 1","","","","","","",""
