"Group","SHA1","ID","Folder","FileName","Title","TransliteratedName","SortTitle","Version","Year","Publisher","Zone","DumpStatus","DumpInfo","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack"
005,,005,,,005,,,,,,,,,,,,,,,,,,
19xx,,19xxa,,,"19XX: The War Against Destiny",,,"(Asia 960104)",,,,,,,,,,,,,,,
19xx,,19xx,,,"19XX: The War Against Destiny",,,"(USA 951207)",,,,,,,,,,,,,,,
19xx,,19xxh,,,"19XX: The War Against Destiny",,,"(Hispanic 951218)",,,,,,,,,,,,,,,
19xx,,19xxd,,,"19XX: The War Against Destiny",,,"(USA 951207 Phoenix Edition) (bootleg)",,,,,,,,,,,,,,,
19xx,,19xxb,,,"19XX: The War Against Destiny",,,"(Brazil 951218)",,,,,,,,,,,,,,,
1on1gov,,1on1gov,,,"1 on 1 Government",,,(Japan),,,,,,,,,,,,,,,
2020bb,,2020bba,,,"2020 Super Baseball",,,"(set 2)",,,,,,,,,,,,,,,
2020bb,,2020bb,,,"2020 Super Baseball",,,"(set 1)",,,,,,,,,,,,,,,
2020bb,,2020bbh,,,"2020 Super Baseball",,,"(set 3)",,,,,,,,,,,,,,,
20pacgal,,20pacgal,,,"Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion",,,(V1.08),,,,,,,,,,,,,,,
20pacgal,,20pacgalr4,,,"Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion",,,(V1.04),,,,,,,,,,,,,,,
20pacgal,,20pacgalr1,,,"Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion",,,(V1.01),,,,,,,,,,,,,,,
25pacman,,25pacman,,,"Pac-Man - 25th Anniversary Edition",,,"(Rev 3.00)",,,,,,,,,,,,,,,
280zzzap,,280zzzap,,,280-ZZZAP,,,,,,,,,,,,,,,,,,
2mindril,,2mindril,,,"Two Minute Drill",,,,,,,,,,,,,,,,,,
39in1,,39in1,,,"39 in 1 MAME bootleg",,,,,,,,,,,,,,,,,,
3bagflvt,,3bagflvt,,,"3 Bags Full",,,"(5VXFC790, Victoria)",,,,,,,,,,,,,,,
3countb,,3countb,,,"3 Count Bout / Fire Suplex",,,"(NGM-043 ~ NGH-043)",,,,,,,,,,,,,,,
3dobios,,3dobios,,,"3DO Bios",,,,,,,,,,,,,,,,,,
3in1semi,,3in1semi,,,"New HyperMan",,,"(3-in-1 with Cookie & Bibi & HyperMan)",,,,,,,,,,,,,,,
3kokushi,,3kokushi,,,Sankokushi,,,(Japan),,,,,,,,,,,,,,,
3stooges,,3stooges,,,"The Three Stooges In Brides Is Brides",,,"(set 1)",,,,,,,,,,,,,,,
3super8,,3super8,,,"3 Super 8",,,(Italy),,,,,,,,,,,,,,,
3wonders,,3wondersu,,,"Three Wonders",,,"(USA 910520)",,,,,,,,,,,,,,,
3wonders,,wonder3,,,"Wonder 3",,,"(Japan 910520)",,,,,,,,,,,,,,,
3wonders,,3wondersr1,,,"Three Wonders",,,"(World 910513)",,,,,,,,,,,,,,,
3wonders,,3wonders,,,"Three Wonders",,,"(World 910520)",,,,,,,,,,,,,,,
3wonders,,3wondersb,,,"Three Wonders",,,(bootleg),,,,,,,,,,,,,,,
3wonders,,3wondersh,,,"Three Wonders",,,(hack),,,,,,,,,,,,,,,
40love,,40love,,,Forty-Love,,,,,,,,,,,,,,,,,,
47pie2,,47pie2,,,"Idol Janshi Suchie-Pai II",,,(v1.1),,,,,,,,,,,,,,,
47pie2,,47pie2o,,,"Idol Janshi Suchie-Pai II",,,(v1.0),,,,,,,,,,,,,,,
4dwarrio,,4dwarrio,,,"4-D Warriors",,,(315-5162),,,,,,,,,,,,,,,
4enraya,,4enraya,,,"4 En Raya",,,"(set 1)",,,,,,,,,,,,,,,
4in1,,4in1,,,"4 Fun in 1",,,,,,,,,,,,,,,,,,
4in1boot,,4in1boot,,,"Puzzle King",,,"(PacMan 2, Tetris, HyperMan 2, Snow Bros.)",,,,,,,,,,,,,,,
4psimasy,,4psimasy,,,"Mahjong 4P Simasyo",,,(Japan),,,,,,,,,,,,,,,
4roses,,4roses,,,"Four Roses",,,"(encrypted, set 1)",,,,,,,,,,,,,,,
4roses,,4rosesa,,,"Four Roses",,,"(encrypted, set 2)",,,,,,,,,,,,,,,
500gp,,500gp,,,"500 GP",,,"(5GP3 Ver. C)",,,,,,,,,,,,,,,
64street,,64streetj,,,"64th. Street - A Detective Story",,,"(Japan, set 1)",,,,,,,,,,,,,,,
64street,,64street,,,"64th. Street - A Detective Story",,,(World),,,,,,,,,,,,,,,
720,,720r2,,,"720 Degrees",,,"(rev 2)",,,,,,,,,,,,,,,
720,,720r3,,,"720 Degrees",,,"(rev 3)",,,,,,,,,,,,,,,
720,,720r1,,,"720 Degrees",,,"(rev 1)",,,,,,,,,,,,,,,
720,,720,,,"720 Degrees",,,"(rev 4)",,,,,,,,,,,,,,,
720,,720g,,,"720 Degrees",,,"(German, rev 2)",,,,,,,,,,,,,,,
720,,720gr1,,,"720 Degrees",,,"(German, rev 1)",,,,,,,,,,,,,,,
7jigen,,7jigen,,,"7jigen no Youseitachi - Mahjong 7 Dimensions",,,(Japan),,,,,,,,,,,,,,,
7mezzo,,7mezzo,,,"7 e Mezzo",,,,,,,,,,,,,,,,,,
7ordi,,7ordi,,,"7 Ordi",,,(Korea),,,,,,,,,,,,,,,
86lions,,86lions,,,"86 Lions",,,,,,,,,,,,,,,,,,
88games,,88games,,,"'88 Games",,,,,,,,,,,,,,,,,,
88games,,konami88,,,"Konami '88",,,,,,,,,,,,,,,,,,
88games,,hypsptsp,,,"Hyper Sports Special",,,(Japan),,,,,,,,,,,,,,,
8ball,,8ball1,,,"Video Eight Ball",,,(Rev.1),,,,,,,,,,,,,,,
8ball,,8ball,,,"Video Eight Ball",,,,,,,,,,,,,,,,,,
8ballact,,8bpm,,,"Eight Ball Action",,,"(Pac-Man conversion)",,,,,,,,,,,,,,,
8ballact,,8ballact,,,"Eight Ball Action",,,"(DK conversion)",,,,,,,,,,,,,,,
8ballact,,8ballact2,,,"Eight Ball Action",,,"(DKJr conversion)",,,,,,,,,,,,,,,
9ballsht,,9ballsht2,,,"9-Ball Shootout",,,"(set 2)",,,,,,,,,,,,,,,
9ballsht,,9ballshtc,,,"9-Ball Shootout Championship",,,,,,,,,,,,,,,,,,
9ballsht,,9ballsht3,,,"9-Ball Shootout",,,"(set 3)",,,,,,,,,,,,,,,
9ballsht,,9ballsht,,,"9-Ball Shootout",,,"(set 1)",,,,,,,,,,,,,,,
a51site4,,a51site4,,,"Area 51: Site 4",,,"(HD Rev 2.01, September 7, 1998)",,,,,,,,,,,,,,,
aafb,,aafbc,,,"All American Football",,,"(rev C)",,,,,,,,,,,,,,,
aafb,,aafb,,,"All American Football",,,"(rev E)",,,,,,,,,,,,,,,
aafb,,aafbb,,,"All American Football",,,"(rev B)",,,,,,,,,,,,,,,
aafb,,aafbd2p,,,"All American Football",,,"(rev D, 2 Players)",,,,,,,,,,,,,,,
abacus,,abacus,,,Abacus,,,"(Ver 1.0)",,,,,,,,,,,,,,,
abaseb,,abaseb,,,"Atari Baseball",,,"(set 1)",,,,,,,,,,,,,,,
abaseb,,abaseb2,,,"Atari Baseball",,,"(set 2)",,,,,,,,,,,,,,,
abcop,,abcop,,,"A.B. Cop",,,"(World) (FD1094 317-0169b)",,,,,,,,,,,,,,,
abnudge,,abnudgeb,,,"Animal Bonus Nudge",,,"(Version 2.0, set 1)",,,,,,,,,,,,,,,
abnudge,,abnudged,,,"Animal Bonus Nudge",,,"(Version 2.0, set 2)",,,,,,,,,,,,,,,
abnudge,,abnudgeo,,,"Animal Bonus Nudge",,,"(Version 1.7)",,,,,,,,,,,,,,,
abnudge,,abnudge,,,"Animal Bonus Nudge",,,"(Version 2.1 Dual)",,,,,,,,,,,,,,,
abunai,,abunai,,,"Abunai Houkago - Mou Matenai",,,"(Japan 890325)",,,,,,,,,,,,,,,
aburner2,,aburner2g,,,"After Burner II",,,(German),,,,,,,,,,,,,,,
aburner2,,aburner,,,"After Burner",,,,,,,,,,,,,,,,,,
aburner2,,aburner2,,,"After Burner II",,,,,,,,,,,,,,,,,,
ace,,ace,,,Ace,,,,,,,,,,,,,,,,,,
aceattac,,aceattac,,,"Ace Attacker",,,"(FD1094 317-0059)",,,,,,,,,,,,,,,
aceattac,,aceattaca,,,"Ace Attacker",,,"(Japan, System 16A, FD1094 317-0060)",,,,,,,,,,,,,,,
acedrvrw,,acedrvrw,,,"Ace Driver: Racing Evolution",,,"(Rev. AD2)",,,,,,,,,,,,,,,
acefruit,,acefruit,,,Silhouette,,,,,,,,,,,,,,,,,,
acommand,,acommand,,,"Alien Command",,,,,,,,,,,,,,,,,,
acrobatm,,acrobatm,,,"Acrobat Mission",,,,,,,,,,,,,,,,,,
act2000,,act2000,,,"Action 2000",,,"(Version 3.5E Dual)",,,,,,,,,,,,,,,
act2000,,act2000o3,,,"Action 2000",,,"(Version 1.2)",,,,,,,,,,,,,,,
act2000,,act2000o2,,,"Action 2000",,,"(Version 3.10XT)",,,,,,,,,,,,,,,
act2000,,act2000vx,,,"Action 2000",,,"(Version 3.30XT Dual)",,,,,,,,,,,,,,,
act2000,,act2000v1,,,"Action 2000",,,"(Version 3.5R Dual)",,,,,,,,,,,,,,,
act2000,,act2000o,,,"Action 2000",,,"(Version 3.3)",,,,,,,,,,,,,,,
act2000,,act2000bx,,,"Action 2000",,,"(Version 3.30XT, set 2)",,,,,,,,,,,,,,,
act2000,,act2000b1,,,"Action 2000",,,"(Version 3.5R, set 2)",,,,,,,,,,,,,,,
act2000,,act2000dx,,,"Action 2000",,,"(Version 3.30XT, set 1)",,,,,,,,,,,,,,,
act2000,,act2000d1,,,"Action 2000",,,"(Version 3.5R, set 1)",,,,,,,,,,,,,,,
actfancr,,actfancrj,,,"Act-Fancer Cybernetick Hyper Weapon",,,"(Japan revision 1)",,,,,,,,,,,,,,,
actfancr,,actfancr1,,,"Act-Fancer Cybernetick Hyper Weapon",,,"(World revision 1)",,,,,,,,,,,,,,,
actfancr,,actfancr,,,"Act-Fancer Cybernetick Hyper Weapon",,,"(World revision 2)",,,,,,,,,,,,,,,
actionhw,,actionhw,,,"Action Hollywood",,,,,,,,,,,,,,,,,,
ad2083,,ad2083,,,"A. D. 2083",,,,,,,,,,,,,,,,,,
adillor,,adillor,,,"Armadillo Racing",,,"(Rev. AM1 Ver.A)",,,,,,,,,,,,,,,
adonis,,adonis,,,Adonis,,,"(0200751V, NSW/ACT)",,,,,,,,,,,,,,,
aerofgt,,aerofgt,,,"Aero Fighters",,,"(World / USA + Canada / Korea / Hong Kong / Taiwan) (newer hardware)",,,,,,,,,,,,,,,
aerofgt,,aerofgtb,,,"Aero Fighters",,,"(Taiwan / Japan, set 1)",,,,,,,,,,,,,,,
aerofgt,,aerfboo2,,,"Aero Fighters",,,"(bootleg set 2)",,,,,,,,,,,,,,,
aerofgt,,aerfboot,,,"Aero Fighters",,,"(bootleg set 1)",,,,,,,,,,,,,,,
aerofgt,,sonicwi,,,"Sonic Wings",,,(Japan),,,,,,,,,,,,,,,
aerofgt,,aerofgtc,,,"Aero Fighters",,,"(Taiwan / Japan, set 2)",,,,,,,,,,,,,,,
aerofgts,,sncwgltd,,,"Sonic Wings Limited",,,(Japan),,,,,,,,,,,,,,,
aerofgts,,aerofgts,,,"Aero Fighters Special",,,(Taiwan),,,,,,,,,,,,,,,
afighter,,afighter,,,"Action Fighter",,,"(FD1089A 317-0018)",,,,,,,,,,,,,,,
agallet,,agallet,,,"Air Gallet",,,(Europe),,,,,,,,,,,,,,,
agress,,agressb,,,"Agress - Missile Daisenryaku",,,"(English bootleg)",,,,,,,,,,,,,,,
agress,,agress,,,"Agress - Missile Daisenryaku",,,(Japan),,,,,,,,,,,,,,,
ainferno,,ainferno,,,"Air Inferno",,,(US),,,,,,,,,,,,,,,
airass,,firebarr,,,"Fire Barrel",,,(Japan),,,,,,,,,,,,,,,
airass,,airass,,,"Air Assault",,,(World),,,,,,,,,,,,,,,
airattck,,airattcka,,,"Air Attack",,,"(set 2)",,,,,,,,,,,,,,,
airattck,,airattck,,,"Air Attack",,,"(set 1)",,,,,,,,,,,,,,,
airbustr,,airbustrj,,,"Air Buster: Trouble Specialty Raid Unit",,,(Japan),,,,,,,,,,,,,,,
airbustr,,airbustr,,,"Air Buster: Trouble Specialty Raid Unit",,,(World),,,,,,,,,,,,,,,
airbustr,,airbustrb,,,"Air Buster: Trouble Specialty Raid Unit",,,(bootleg),,,,,,,,,,,,,,,
airco22b,,airco22b,,,"Air Combat 22",,,"(Rev. ACS1 Ver.B, Japan)",,,,,,,,,,,,,,,
aircomb,,aircombj,,,"Air Combat",,,(Japan),,,,,,,,,,,,,,,
aircomb,,aircomb,,,"Air Combat",,,(US),,,,,,,,,,,,,,,
airduel,,airduelm72,,,"Air Duel",,,"(Japan, M72)",,,,,,,,,,,,,,,
airduel,,airduel,,,"Air Duel",,,"(World, M82-A-A + M82-B-A)",,,,,,,,,,,,,,,
airlbios,,airlbios,,,"Naomi Airline Pilots",,,"(deluxe) Bios",,,,,,,,,,,,,,,
airraid,,airraid,,,"Air Raid",,,"(Single PCB)",,,,,,,,,,,,,,,
airraid,,cshooter,,,"Cross Shooter",,,"(Single PCB)",,,,,,,,,,,,,,,
airtrix,,airtrix,,,"Air Trix",,,"(Rev A)",,,,,,,,,,,,,,,
airwolf,,skywolf,,,"Sky Wolf",,,"(set 1)",,,,,,,,,,,,,,,
airwolf,,skywolf3,,,"Sky Wolf",,,"(set 3)",,,,,,,,,,,,,,,
airwolf,,skywolf2,,,"Sky Wolf",,,"(set 2)",,,,,,,,,,,,,,,
airwolf,,airwolf,,,Airwolf,,,,,,,,,,,,,,,,,,
airwolf,,airwolfa,,,Airwolf,,,(US),,,,,,,,,,,,,,,
ajax,,ajaxj,,,Ajax,,,(Japan),,,,,,,,,,,,,,,
ajax,,ajax,,,Ajax,,,,,,,,,,,,,,,,,,
ajax,,typhoon,,,Typhoon,,,,,,,,,,,,,,,,,,
akamaru,,akamaru,,,"Panel & Variety Akamaru Q Jousyou Dont-R",,,,,,,,,,,,,,,,,,
akiss,,akiss,,,"Mahjong Angel Kiss",,,,,,,,,,,,,,,,,,
aladmdb,,aladmdb,,,Aladdin,,,"(bootleg of Japanese Megadrive version)",,,,,,,,,,,,,,,
alcon,,slapfigha,,,"Slap Fight",,,"(Japan set 2)",,,,,,,,,,,,,,,
alcon,,slapfighb1,,,"Slap Fight",,,"(bootleg set 1)",,,,,,,,,,,,,,,
alcon,,slapfigh,,,"Slap Fight",,,"(Japan set 1)",,,,,,,,,,,,,,,
alcon,,alcon,,,Alcon,,,(US),,,,,,,,,,,,,,,
alcon,,slapfighb3,,,"Slap Fight",,,"(bootleg set 3)",,,,,,,,,,,,,,,
alcon,,slapfighb2,,,"Slap Fight",,,"(bootleg set 2)",,,,,,,,,,,,,,,
aleck64,,aleck64,,,"Aleck64 PIF BIOS",,,,,,,,,,,,,,,,,,
alexkidd,,alexkidd,,,"Alex Kidd: The Lost Stars",,,"(set 2, unprotected)",,,,,,,,,,,,,,,
alexkidd,,alexkidd1,,,"Alex Kidd: The Lost Stars",,,"(set 1, FD1089A 317-0021)",,,,,,,,,,,,,,,
alg_bios,,alg_bios,,,"American Laser Games BIOS",,,,,,,,,,,,,,,,,,
alibaba,,alibaba,,,"Ali Baba and 40 Thieves",,,,,,,,,,,,,,,,,,
alien3,,alien3u,,,"Alien3: The Gun",,,(US),,,,,,,,,,,,,,,
alien3,,alien3,,,"Alien3: The Gun",,,(World),,,,,,,,,,,,,,,
alienar,,alienaru,,,"Alien Arena",,,"(Stargate upgrade)",,,,,,,,,,,,,,,
alienar,,alienar,,,"Alien Arena",,,,,,,,,,,,,,,,,,
aliencha,,alienchac,,,"Alien Challenge",,,(China),,,,,,,,,,,,,,,
aliencha,,aliencha,,,"Alien Challenge",,,(World),,,,,,,,,,,,,,,
aliencr,,aliencr,,,"Alien Crush",,,,,,,,,,,,,,,,,,
aliens,,aliensa,,,Aliens,,,(Asia),,,,,,,,,,,,,,,
aliens,,aliensj,,,Aliens,,,"(Japan set 1)",,,,,,,,,,,,,,,
aliens,,aliens3,,,Aliens,,,"(World set 3)",,,,,,,,,,,,,,,
aliens,,aliens,,,Aliens,,,"(World set 1)",,,,,,,,,,,,,,,
aliens,,aliens2,,,Aliens,,,"(World set 2)",,,,,,,,,,,,,,,
aliens,,aliensu,,,Aliens,,,(US),,,,,,,,,,,,,,,
aliens,,aliensj2,,,Aliens,,,"(Japan set 2)",,,,,,,,,,,,,,,
aliensec,,baraduke,,,Baraduke,,,,,,,,,,,,,,,,,,
aliensec,,aliensec,,,"Alien Sector",,,,,,,,,,,,,,,,,,
aliensyn,,aliensynj,,,"Alien Syndrome",,,"(set 6, Japan, new, System 16B, FD1089A 317-0033)",,,,,,,,,,,,,,,
aliensyn,,aliensyn2,,,"Alien Syndrome",,,"(set 2, System 16A, FD1089A 317-0033)",,,,,,,,,,,,,,,
aliensyn,,aliensyn,,,"Alien Syndrome",,,"(set 4, System 16B, unprotected)",,,,,,,,,,,,,,,
aliensyn,,aliensyn3,,,"Alien Syndrome",,,"(set 3, System 16B, FD1089A 317-0033)",,,,,,,,,,,,,,,
aliensyn,,aliensyn5,,,"Alien Syndrome",,,"(set 5, System 16A, FD1089B 317-0037)",,,,,,,,,,,,,,,
aliensyn,,aliensynjo,,,"Alien Syndrome",,,"(set 1, Japan, old, System 16A, FD1089A 317-0033)",,,,,,,,,,,,,,,
aligator,,aligatorun,,,"Alligator Hunt",,,(unprotected),,,,,,,,,,,,,,,
aligator,,aligator,,,"Alligator Hunt",,,,,,,,,,,,,,,,,,
alleymas,,alleymas,,,"Alley Master",,,,,,,,,,,,,,,,,,
allied,,allied,,,"Allied System",,,,,,,,,,,,,,,,,,
alpha1v,,alpha1v,,,"Alpha One",,,"(Vision Electronics)",,,,,,,,,,,,,,,
alphaho,,alphaho,,,"Alpha Fighter / Head On",,,,,,,,,,,,,,,,,,
alpham2,,alpham2,,,"Alpha Mission II / ASO II - Last Guardian",,,"(NGM-007 ~ NGH-007)",,,,,,,,,,,,,,,
alpine,,alpinea,,,"Alpine Ski",,,"(set 2)",,,,,,,,,,,,,,,
alpine,,alpine,,,"Alpine Ski",,,"(set 1)",,,,,,,,,,,,,,,
alpinerd,,alpinerc,,,"Alpine Racer",,,"(Rev. AR2 Ver.C)",,,,,,,,,,,,,,,
alpinerd,,alpinerd,,,"Alpine Racer",,,"(Rev. AR2 Ver.D)",,,,,,,,,,,,,,,
alpinesa,,alpinesa,,,"Alpine Surfer",,,"(Rev. AF2 Ver.A)",,,,,,,,,,,,,,,
alpinr2b,,alpinr2b,,,"Alpine Racer 2",,,"(Rev. ARS2 Ver.B)",,,,,,,,,,,,,,,
alpinr2b,,alpinr2a,,,"Alpine Racer 2",,,"(Rev. ARS2 Ver.A)",,,,,,,,,,,,,,,
altair,,altair,,,Altair,,,,,,,,,,,,,,,,,,
altbeast,,altbeast4,,,"Altered Beast",,,"(set 4) (MC-8123B 317-0066)",,,,,,,,,,,,,,,
altbeast,,altbeast2,,,"Altered Beast",,,"(set 2) (MC-8123B 317-0066)",,,,,,,,,,,,,,,
altbeast,,altbeast,,,"Altered Beast",,,"(set 8) (8751 317-0078)",,,,,,,,,,,,,,,
altbeast,,altbeast5,,,"Altered Beast",,,"(set 5) (FD1094 317-0069)",,,,,,,,,,,,,,,
altbeast,,altbeastj1,,,Juuouki,,,"(set 1, Japan) (FD1094 317-0065)",,,,,,,,,,,,,,,
altbeast,,altbeastj3,,,Juuouki,,,"(set 3, Japan) (FD1094 317-0068)",,,,,,,,,,,,,,,
altbeast,,altbeastj3d,,,Juuouki,,,"(set 3, Japan) (bootleg of FD1094 317-0068 set)",,,,,,,,,,,,,,,
altbeast,,altbeastj,,,Juuouki,,,"(set 7, Japan) (8751 317-0077)",,,,,,,,,,,,,,,
altbeast,,altbeast5d,,,"Altered Beast",,,"(set 5) (bootleg of FD1094 317-0069 set)",,,,,,,,,,,,,,,
altbeast,,altbeast6,,,"Altered Beast",,,"(set 6) (8751 317-0076)",,,,,,,,,,,,,,,
altbeast,,altbeastbl,,,"Altered Beast",,,"(Datsu bootleg)",,,,,,,,,,,,,,,
amazon,,amazon,,,"Soldier Girl Amazon",,,,,,,,,,,,,,,,,,
amazon,,amatelas,,,"Sei Senshi Amatelass",,,,,,,,,,,,,,,,,,
amazoni2,,amazoni2,,,"Amazonia King II",,,(V202BR),,,,,,,,,,,,,,,
ambush,,ambush,,,Ambush,,,,,,,,,,,,,,,,,,
ambush,,ambushv,,,Ambush,,,"(Volt Electronics)",,,,,,,,,,,,,,,
ambush,,ambushj,,,Ambush,,,(Japan),,,,,,,,,,,,,,,
ambush,,ambushh,,,Ambush,,,(hack?),,,,,,,,,,,,,,,
amclink,,amclink,,,"Amcoe Link Control Box",,,"(Version 2.2)",,,,,,,,,,,,,,,
amerdart,,amerdart,,,AmeriDarts,,,"(set 1)",,,,,,,,,,,,,,,
amerdart,,amerdart3,,,AmeriDarts,,,"(set 3)",,,,,,,,,,,,,,,
amerdart,,amerdart2,,,AmeriDarts,,,"(set 2)",,,,,,,,,,,,,,,
amidar,,amidarb,,,Amidar,,,(bootleg),,,,,,,,,,,,,,,
amidar,,amidar1,,,Amidar,,,(older),,,,,,,,,,,,,,,
amidar,,amidar,,,Amidar,,,,,,,,,,,,,,,,,,
amidar,,amidaro,,,Amidar,,,(Olympia),,,,,,,,,,,,,,,
amidar,,amigo,,,Amigo,,,,,,,,,,,,,,,,,,
amidar,,amidaru,,,Amidar,,,"(Stern Electronics)",,,,,,,,,,,,,,,
amidar,,amidars,,,Amidar,,,"(Scramble hardware)",,,,,,,,,,,,,,,
ampoker2,,ampkr2b3,,,"American Poker II",,,"(bootleg, set 3)",,,,,,,,,,,,,,,
ampoker2,,videomat,,,Videomat,,,"(Polish bootleg)",,,,,,,,,,,,,,,
ampoker2,,ampkr2b4,,,"American Poker II",,,"(bootleg, set 4)",,,,,,,,,,,,,,,
ampoker2,,pkrdewin,,,"Poker De Win",,,,,,,,,,,,,,,,,,
ampoker2,,ampkr228,,,"American Poker II",,,"(iamp2 v28)",,,,,,,,,,,,,,,
ampoker2,,ampkr2b1,,,"American Poker II",,,"(bootleg, set 1)",,,,,,,,,,,,,,,
ampoker2,,ampkr2b2,,,"American Poker II",,,"(bootleg, set 2)",,,,,,,,,,,,,,,
ampoker2,,ampoker2,,,"American Poker II",,,,,,,,,,,,,,,,,,
ampoker2,,ampkr95,,,"American Poker 95",,,,,,,,,,,,,,,,,,
amspdwy,,amspdwya,,,"American Speedway",,,"(set 2)",,,,,,,,,,,,,,,
amspdwy,,amspdwy,,,"American Speedway",,,"(set 1)",,,,,,,,,,,,,,,
amuse,,amuse,,,Amuse,,,"(Version 50.08 IBA)",,,,,,,,,,,,,,,
androdun,,androdun,,,"Andro Dunos",,,"(NGM-049 ~ NGH-049)",,,,,,,,,,,,,,,
andromed,,andromed,,,Andromeda,,,(Japan?),,,,,,,,,,,,,,,
angelkds,,angelkds,,,"Angel Kids",,,(Japan),,,,,,,,,,,,,,,
anibonus,,anibonuso3,,,"Animal Bonus",,,"(Version 1.4, set 2)",,,,,,,,,,,,,,,
anibonus,,anibonusb1,,,"Animal Bonus",,,"(Version 1.7R, set 1)",,,,,,,,,,,,,,,
anibonus,,anibonusb2,,,"Animal Bonus",,,"(Version 1.7LT, set 1)",,,,,,,,,,,,,,,
anibonus,,anibonuso2,,,"Animal Bonus",,,"(Version 1.4, set 1)",,,,,,,,,,,,,,,
anibonus,,anibonusxo2,,,"Animal Bonus",,,"(Version 1.40XT, set 1)",,,,,,,,,,,,,,,
anibonus,,anibonusd2,,,"Animal Bonus",,,"(Version 1.7LT, set 2)",,,,,,,,,,,,,,,
anibonus,,anibonusd1,,,"Animal Bonus",,,"(Version 1.7R, set 2)",,,,,,,,,,,,,,,
anibonus,,anibonusxo,,,"Animal Bonus",,,"(Version 1.50XT)",,,,,,,,,,,,,,,
anibonus,,anibonusv2,,,"Animal Bonus",,,"(Version 1.8LT Dual)",,,,,,,,,,,,,,,
anibonus,,anibonusv1,,,"Animal Bonus",,,"(Version 1.8R Dual)",,,,,,,,,,,,,,,
anibonus,,anibonuso,,,"Animal Bonus",,,"(Version 1.5)",,,,,,,,,,,,,,,
anibonus,,anibonus,,,"Animal Bonus",,,"(Version 1.8E Dual)",,,,,,,,,,,,,,,
anibonus,,anibonusxo3,,,"Animal Bonus",,,"(Version 1.40XT, set 2)",,,,,,,,,,,,,,,
