"Group","SHA1","ID","Folder","FileName","Title","[Removed]","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
@,,312ce1b510a90a96bca63d028e96ed732ab6a043,,,"Chuugaku Hisshuu Eisakubun: Chuugaku 2-Nen",,,,1983,Sega,jp,a,"a 1",,,,,,,,,,,
@,,321e2c97645dd9af3e52c66b5db06304250d1bf2,,,"Lode Runner II",,,"Language en",198x,Sega,tw,@,,,,,,,,,,,,
N-Sub,,32a263110434288d3720e2370241d1e93b3f07a9,,,,,,"Language en",1988,Sega,eu,?,,,,,,,,,,,,
"Sega Galaga",,32e776b3a17f7c0df0fa9eb49a3e451cfe702bfd,,,,,,,1983,"Namco - Sega",,?,,,,,,,,,,,,
@,,33072bafc25b83577886e91a75d0b6439a80374c,,,"Hyper Sports 2",,,"Language en",198x,@,tw,@,,,,,1,,,,,,,
"Public Domain",,3463d5fc43e15a045abd048c04acf4bdd9eab683,,,"Fudebrowser: Sandy Style Picture",,,"Copyright Public Domain",2003,Newo,,?,,,,,,,,,,,,
@,,34899ad454a56826d53028bef8fed7f5d2c6a78a,,,"Circus Charlie",,,"Language en",198x,@,kr,@,,,,,1,,,,,,,
@,,35141a11fff42ff33b9154e030501656925d271c,,,"SG-1000 M2 Check Program",,,"Language en",1984,Sega,jp,@,,,,,,,,,,,,
"Pitfall II: Lost Caverns",,356db6edcd337a06063957bd8cb27edeb7160f6c,,,"Pitfall II: The Lost Caverns",,"Pitfall 2 - Lost Caverns",,1985,"Activision - Sega",,?,,,,,,,,,,,,
"GP World",,37aa4812d37445c9e86bc4e02f056fb50d19dc6a,,,,,,"v rev1; Language en",1985,Sega,jp,?,,,,,,,,,,,,
@,,37baf9aac77436b4939c80d6a575e23a7d5cd76d,,,Drol,,,,198x,Samsung,kr,@,,,,,,,,,,,,
@,,37dc5e7b3ebc3a3b0480b16d27bc394d57aac697,,,"Champion Billards",,,"Language en",198x,Sega,tw,@,,,,,,,,,,,,
@,,388fdff0cf2ad276e07a419239710632c376e1db,,,"Sekaishi Nenpyou: Monbushou Shidouyouryou Junkyo",,,,1983,Sega,jp,@,,,,,,,,,,,,
@,,38c25d7730863877fdae5491724a3aed9c6b04d5,,,"Fa Gui Qibing",,,,1985,Aaronix,tw,@,"[AKA Pitfall II]; [chinese logo]",,,,,,,,,,,
Flicky,,39a91b5ad6b139ca5d8ac60b78520210e84944bd,,,,,,"v rev0; Language en",1984,Sega,jp,?,,,,,,,,,,,,
@,,3a8505aabd165bd9de51369f588ae8c867b7671f,,,I.Q.,,,,1985,@,kr,@,"[AKA Soukoban]",,,,,,,,,,,
@,,3b2d3dfe948a734c3d18b504c89c61b7b1f3d81b,,,H.E.R.O.,,,"Language en",198x,"Activision - Sega",tw,@,,,,,,,,,,,,
"Champion Pro Wrestling",,3bdb1e9d8b1a04d8fcc242c47be790c427a75403,,,,,,,1985,Sega,,?,,,,,,,,,,,,
@,,3d1bbb24ddcbff56fc3455b7e2de1160b283e500,,,"Cross Chase",,,,2020/04/02,"Caruso, Fabrizio",@,@,[UDG],,,,,,,,,,,
@,,3d6b4db9583904227d67103790d38236149cc0fa,,,"Cross Chase",,,,2018/07/19,"Caruso, Fabrizio",@,@,[32K],ull,,,,,,,,,,
@,,3d99878e901e0095df7fc6ae2ef0915c9b00dcfb,,,"Tanoshii Sansuu: Shougaku 5-Nen Jou",,,,1983,Sega,jp,@,,,,,,,,,,,,
@,,3efbef93040fffbecb8e1d00b8470ac92f002c9b,,,"Champion Ice Hockey",,,,198x,Samsung,kr,@,,,,,,,,,,,,
@,,3f569c9d95bc83896bc44dba7c469356961d659c,,,Exerion,,,,198x,Samsung,kr,@,,,,,,,,,,,,
Gulkave,,3fb197d16b25bc128a2866c4b78b0535ab8dc412,,,,,,"Language en",1986,Sega,jp,?,,,,,,,,,,,,
@,,3fe3272374135e8b5e849bdcd12812a90bb9901c,,,"Congo Bongo",,,"v 1",19xx,@,tw,@,"[AKA Da Jin Gang]",,,,,,,,,,,
@,,40ac48ef0ba23653d1763cd04774b00abc49f9a4,,,"Champion Golf",,,,198x,Samsung,kr,@,[cart],,,,,,,,,,,
@,,40ae9c24c61188c6f02eba1b83109c5c4d86e64b,,,"GP World",,,"v rev0; Language en",1985,Sega,jp,@,,,,,,,,,,,,
@,,4216770efbaf49f832ff7a78fbc9cd2c8300f52c,,,Soukoban,,,"Language en,ja",198x,"Sega - Thinking Rabbit",tw,@,,,,,,,,,,,,
"Dragon Wang",,43807c9f634b8cf85aa5c3b2459885eedbb99955,,,,,,"Language en",1985,Sega,jp,?,,,,,,,,,,,,
@,,43d67e8c386012d0694f09a2fe31a46d32d39f17,,,"Hyper Sports",,,,198x,Samsung,kr,@,,,,,,,,,,,,
@,,44fb2dca3774f859f0ae0ad4d809a67f760cf9ae,,,"Da Cike",,,,1986,DahJee,tw,@,"[AKA Yie Ar Kung-Fu II]",,,,,,,,,,,
@,,455838571dd8287d491431e03269b0ccd292c8b8,,,"Hongzha Dui",,,,1986,DahJee,tw,@,"[AKA Bomberman Special]",,,,,,,,,,,
"Public Domain",,45a2ba5e299194515c2097efc0814c8f2fcfba6f,,,"Fudebrowser: Winnie Cooper Gallery",,,"Copyright Public Domain",2000,"Bittencourt, Ricardo",,?,,,,,,,,,,,,
@,,464ec3c9acfefd0ad244a43033985e88798905f9,,,"Monaco GP",,,"v 1",1983,Aaronix,tw,@,"[AKA Monage Saiche]",,,,,,,,,,,
@,,472905386482f1ffe9987ae888ae2787cd9f5fbe,,,"Cross Chase",,,,2021/05/13,"Caruso, Fabrizio",@,@,,,,,,,,,,,,
@,,47aba6a295e5695db4c3aaa1dea8ad8ac961b5f9,,,"Congo Bongo",,,"v 1",1983,Sega,"eu,jp",@,,,,,,,,,,,,
"Wonder Boy",,4a54933135cdff546fd79cbc61a38355f7335f3f,,,,,,"v rev0",1986,Sega,,?,,,,,,,,,,,,
"Public Domain",,4a7aafb9059a701ec3ea4742169476371f75d9e5,,,"Fudebrowser: Shurato Picture",,,"Copyright Public Domain",2000,"Bittencourt, Ricardo",,?,,,,,,,,,,,,
"Public Domain",,4aa7d2466c314be8881c88be5ed4abb0accac1b2,,,"Fudebrowser: Jiraiya Picture",,,"Copyright Public Domain",2000,"Bittencourt, Ricardo",,?,,,,,,,,,,,,
@,,4ca8182b8f7c798d7222295978e2556ff115b848,,,"Monaco GP",,,"v rev1; Language en",1983,Sega,jp,@,,,,,,,,,,,,
Yamato,,4d746558fb699c5cb480ba26130518105b2e2031,,,,,,,1983,Sega,,?,,,,,,,,,,,,
@,,4ea22b9a655c4cfe13500beb97e84da451752148,,,"Congo Bongo",,,"v 1",1983,Sega,"eu,jp",@,[40K],,,,,,,,,,,
@,,4f1a139974e3db27af5973bc9572ed68acd6ea68,,,"Huojian Che",,,,1986,Jumbo,tw,@,"[AKA Road Fighter]",,,,,,,,,,,
@,,51947fc0ae2bc3442b0fee2cccf2344b7a94a167,,,Flicky,,,"v rev1; Language en",1984,Sega,jp,@,,,,,,,,,,,,
@,,543046650e07b10dbd2dca6f20bcafb9dd6dda77,,,"Okamoto Ayako no Match Play Golf",,,"Language ja",19xx,"Chia-Ling Corp - Tsukuda Original",tw,@,,,,,,,,,,,,
@,,5500a59f4474833687e7d2d7bbd09cf0fb925684,,,"Tanoshii Sansuu: Shougaku 4-Nen Ge",,,,1984,Sega,jp,@,,,,,,,,,,,,
@,,55a36c77cbdf87530611feccf2f1807bdd2ac0ec,,,N-Sub,,,,1983,Aaronix,tw,@,"[AKA Qianshui Dazhan]",,,,,,,,,,,
@,,57ade81eaa044d69621741d8c5f5c5e8650f6c2b,,,"Jing wu men",,,"Language en,zh",19xx,"Chia-Ling Corp - Sega",tw,@,,,,,,,,,,,,
"Super Tank",,58d7d51b91b763d812376d56643a4f8a331e826b,,,,,,"Language en",1986,Sega,jp,?,,,,,,,,,,,,
@,,59c7c6d0e373f78961a0e501a533ea271b15abdb,,,"Tanoshii Sansuu: Shougaku 4-Nen Jou",,,,1983,Sega,jp,@,,,,,,,,,,,,
@,,5a7904697ea8a360066ea8403793227021735969,,,"Space Invaders",,,,1985,Aaronix,tw,@,"[AKA Taikong Qinlue Zhan]",,,,,,,,,,,
@,,5a81d5103487695cabd811aabd9e71f48b9e7996,,,"Mowan Migong: The Castle",,,,1986,DahJee,tw,@,"[MSX port]",,,,,,,,,,,
@,,5c011f37f4fcbaa72167293a9917bb6af0e30b55,,,"Cabbage Patch Kids",,,"Language en",198x,@,tw,@,,,,,1,,,,,,,
@,,5c51f9846fb8220ab7dd6db5d6911cf4e985bfe9,,,Guzzler,,,,1983,Aaronix,tw,@,"[AKA Shui Jingling]",,,,,,,,,,,
@,,5ccb666ee0d1a29615e46eba2d7d66ee714b4f74,,,Ruptus,,,,2022/02/09,Inufuto,jp,@,,,,,,,,,,,,
"Public Domain",,5ce20d2b6db811deafc83f8b42144fc1bc519efd,,,"Fudebrowser: I Am Newo",,,"Copyright Public Domain",2000,Newo,,?,,,,,,,,,,,,
"Star Jacker",,5d074708edf6c40dc6d80032cd91ff6197aa79c7,,,,,,,1983,Sega,jp,?,,,,,,,,,,,,
@,,5e89857a374cbf3efa32efb62d26973d46a856ae,,,Pacar,,,,1983,Sega,jp,@,[40K],,,,,,,,,,,
Drol,,607b2b9a946eaaebb938800bd3b1df7d9342388c,,,,,,,1985,Sega,,?,,,,,,,,,,,,
@,,61d1afe62b2be0da26d8a185828387063dd4b06e,,,Choplifter,,,"Language en",198x,Sega,tw,a,"a 1",,,,,,,,,,,
"Music Editor",,61f40e4b7576d4d55322f3d6eef2038aa784336e,,,,,,,1983,Mitec,,?,,,,,,,,,,,,
@,,621cf09649e9244714fa01652b066cd1a477279e,,,"Champion Kendou",,,"Language en,ja",198x,Sega,tw,@,,,,,,,,,,,,
@,,63cf03f62516d4228a023fff496f2ffa6581d3dc,,,"Chuugaku Hisshuu Eitango: Chuugaku 1-Nen",,,,1983,Sega,jp,@,,,,,,,,,,,,
"Monaco GP",,6476bc0fc1608dd69a1ae62617ea4719bc7eaa50,,,,,,,1983,Sega,,b,"b 1",,,,,,,,,,,
@,,66006ff9aed44c84496aebc1b8fac38197558691,,,"Cross Chase",,,,2018/07/19,"Caruso, Fabrizio",@,@,,,,,,,,,,,,
"Music Editor",,6740b5acaf045ac10f72b72ee4384e21b56faa0f,,,,,,,1983,Mitec,,b,"b 1",,,,,,,,,,,
@,,67ec5859d293d9236d21b71e63580b6a53b90244,,,"Circus Charlie",,,"Language en",198x,@,tw,@,,,,,1,,,,,,,
@,,694228631d09ed06c8850fd164c6d99b12ff173d,,,"Monaco GP",,,"v rev2; Language en",1983,Sega,jp,@,,,,,,,,,,,,
@,,6b35016742db0a06947c679f41b8130c28d2de7d,,,"Kagaku: Gensokigou Master",,,,1983,Sega,jp,@,,,,,,,,,,,,
@,,6c049daa08af7b1f08b98d6998ba52d7cf3cc4de,,,Galaga,,,,1983,Aaronix,tw,@,"[AKA Sega-Galaga]; [AKA Mifeng Er Dai]",,,,,,,,,,,
Flicky,,6c1a77ebec46ec730bbf255dbbd3b9a7e1e00555,,,,,,"v rev0; Language en",1984,Sega,jp,b,"b 1",,,,,,,,,,,
@,,6fbdc967f5c7c39eb1fdea08d2dcabfd64b8e7ee,,,Yamato,,,,1983,Aaronix,tw,@,"[AKA Tai He Jian]",,,,,,,,,,,
@,,7101c42289815d7e0d04b523f8f0e833f2f089b3,,,C_So!,,,"Language en",198x,"Pony - Sega",tw,@,,,,,,,,,,,,
"Champion Baseball",,737b9478c4ce6df2afcd36f78011019f5d669226,,,,,,,1983,Sega,,?,,,,,,,,,,,,
"Tanoshii Sansuu: Shougaku 5-Nen Ge",,751d82119e19d46a20165c8debbfe95b3241a701,,,,,,,1984,Sega,jp,?,,,,,,,,,,,,
@,,75555c1a05a14401e4136bffb9fb52f88a17ecfc,,,Exerion,,,,1983,Aaronix,tw,@,"[AKA Diqiu Baowei Zhan]",,,,,,,,,,,
@,,75855a3148a57b102c15a436e7e4ffd1ab4808c3,,,"Chack'n Pop",,,"Language en",198x,"Sega - Taito",tw,@,,,,,,,,,,,,
@,,763b62680b738e65be774ff8b4d39637ccc3df29,,,"Cross Chase",,,,2020/04/02,"Caruso, Fabrizio",@,@,"[32K]; [UDG]",ull,,,,,,,,,,
@,,779ae07ae6ce419917a7771e5967ba4bf2124a00,,,"Cross Chase",,,,2018/10/29,"Caruso, Fabrizio",@,@,"[32K]; [UDG]",ull,,,,,,,,,,
"Bomb Jack",,7859b9ee5614c595cb57a832ef7a8f1ab473b45b,,,,,,,1985,"Sega - Tehkan",,?,,,,,,,,,,,,
"Dragon Wang",,78f26d0a1d4f08a6378700b81ab38fc7c0f6bdc0,,,,,,"Language en",1985,Sega,jp,a,"a 1",,,,,,,,,,,
"Space Slalom",,798b5f3742cb3f95fd5977d9a2cb48ba2dc804e6,,,,,,"Language en",1983,Sega,jp,?,,,,,,,,,,,,
"Champion Boxing",,7a7ace132090f11bac4f4aec58bcbf6a2a1c6168,,,,,,"Language en",1984,Sega,jp,?,[Card],,,,,,,,,,,
@,,7a998a0da19471f7e3e5bd82a9fbaf82a966ee40,,,"Huo Hu Li",,,,1985,Aaronix,tw,@,"[AKA Zoom 909]",,,,,,,,,,,
@,,7c7baec14e8493a37dc05c08f1a36382f4b7c391,,,"Cross Chase",,,,2018/10/29,"Caruso, Fabrizio",@,@,"[16K]; [light]",,,,,,,,,,,
"Black Onyx",,7ecb9ac646346900046a61ff0242d6c90a812eda,,,"The Black Onyx",,"Black Onyx","Language en,ja",1987,"Bullet-Proof Software - Sega",jp,?,,,,,,,,,,,,
@,,808a6dcbd88f2ee4018cd8e1912ddcb06b3d5168,,,"Cross Chase",,,,2018/04/15,"Caruso, Fabrizio",@,@,"[16K]; [light]",,,,,,,,,,,
@,,81015cea7e5ff08bd7d20953a702d47efdb8c11c,,,"Sega Mahjong",,,"Language en,ja",1983,Sega,jp,@,,,,,,,,,,,,
@,,82b530feef7c011361e21b62d2c359c626ab8a9c,,,H.E.R.O.,,,,1985,Aaronix,tw,@,"[english logo]",,,,,,,,,,,
@,,835d0ea1c0cf1723ae95ba60ea0a929780ebaf71,,,"Bomb Jack",,,"Language en",198x,"Boram - Sega - Tehkan",kr,a,"a 1",,,,,,,,,,,
"Shinnyushain Tooru Kun",,83784e8248e2367546115382dac157ca8e6fe3ab,,,"Shinnyuushain Tooru Kun",,,"Language en,ja",1985,Sega,jp,?,,,,,,,,,,,,
Exerion,,839e19487b96d02222ff397b047cbc6a0fbc08ff,,,,,,,1983,Sega,,?,,,,,,,,,,,,
"Pop Flamer",,84b59a9f855ef5e953c43495d7a15dd78386d0a8,,,,,,,1983,"Jaleco - Sega",,?,,,,,,,,,,,,
"Champion Kendou",,8565fc398d0206100da785d10e008f7f6a3c225e,,,,,,"Language en,ja",1986,Sega,jp,?,,,,,,,,,,,,
@,,85e5c2f354b9110e5f7c7dfcc7ab9814598b7956,,,"Champion Baseball",,,,1983,"Alpha Denshi - Sega",jp,@,[40K],,,,,,,,,,,
@,,8870762ea34a6d9512cc54c2042c8f0533d778e0,,,"Cross Chase",,,,2018/07/19,"Caruso, Fabrizio",@,@,"[16K]; [light]",,,,,,,,,,,
"Music Station",,8876e8f16b09b69235c249ecadeeec405f096698,,,,,,"v 1.6; Copyright Public Domain",2000,"Bittencourt, Ricardo",,?,,,,,,,,,,,,
"James Bond 007",,88d8c1f56f06ec76be285c29f41322a748f7c4db,,,,,,"(SG-1000) [!]",,,,?,,,,,,,,,,,,
Kamikaze,,8995356ea9dcca2fbbbf33dc730e391b29b138a4,,,,,,(SF-7000),,,,?,,,,,,,,,,,,
"Hyper Sports",,8a13ee297f861f436b9529a5e2193cb697baa56f,,,,,,,1985,"Konami - Sega",,?,,,,,,,,,,,,
@,,8a693531a3cfd0cef01d6b2ac900a2c95ff4f75e,,,"Tanoshii Sansuu: Shougaku 4-Nen Jou",,,,1983,Sega,jp,a,"a 1",,,,,,,,,,,
"Champion Tennis",,8b90300dcabc2cf8d58ee4800dce3084b739886b,,,,,,,1983,Sega,,?,,,,,,,,,,,,
@,,8bb117df0a86508cf3fc139bd070c0aa8c6487dd,,,Drol,,,,1985,Aaronix,tw,@,"[AKA Jiunan Xiao Yingxiong]",,,,,,,,,,,
"Public Domain",,8bd5fb07dff9548afa12a48a263e569036eddb7b,,,"Fudebrowser: How Do They Do That with HTML",,,"Copyright Public Domain",2000,"Bittencourt, Ricardo",,?,,,,,,,,,,,,
@,,8c151e0794b333d14d8ae9108df2540edfbacab6,,,"Cross Chase",,,,2018/08/04,"Caruso, Fabrizio",@,@,"[32K]; [UDG]",ull,,,,,,,,,,
"Zippy Race",,8c48dbe187ff4b26d6244d38075565f284536d0c,,,,,,,1983,"Irem - Sega",,?,,,,,,,,,,,,
"Champion Boxing",,8cd55ee1efcab917087b80629ca18b4629edc15d,,,,,,"Language en",1984,Sega,jp,?,[Cartridge],,,,,,,,,,,
@,,8d7b786283e5b42e34432ecf1b3744eae00575de,,,"Bomb Jack",,,"Language en",198x,"Sega - Tehkan",tw,a,"a 1",,,,,,,,,,,
"Bank Panic",,8e1dc4d79c5bc45fc6112969ea9a2c68b3c86666,,,,,,,1985,Sega,,?,,,,,,,,,,,,
@,,8f261b955162c179fe4c936ece767bbf25c4888c,,,"Wonder Boy",,,"v rev1; Language en",198x,Sega,tw,@,,,,,,,,,,,,
"Safari Hunting",,902dbabbfa98d71299adda0638b87152188e1cf1,,,,,,,1983,Sega,,?,,,,,,,,,,,,
@,,902dbb122bf0efc76604a876c3fae51c074bdc6a,,,"Yingzi Chuansho",,,,1986,DahJee,tw,@,"[AKA Kage no Densetsu]",,,,,,,,,,,
"Poseidon Wars: Space Panic: Rambo",,909d6335034cf9e241d7fc4c8074a280b5c4112f,,,,,,(SF-7000),,,,?,,,,,,,,,,,,
"Sindbad Mystery",,90bb8b8337866339f32b3fd48b4d25d78d682b55,,,,,,,1983,Sega,,?,,,,,,,,,,,,
@,,90e32471b68cb60449b30e5d5a19d3a88f9829d3,,,"Uranai Angel Cutie",,,,1984,Sega,jp,@,,,,,,,,,,,,
Pacar,,91fd213308b83bb1bda1dfc7e971e576caace291,,,,,,,1983,Sega,,?,,,,,,,,,,,,
@,,922d23895c12707b2fc382ea5cb769c5cb9b5755,,,Jinzita,,,,198x,Aaronix,tw,@,"[AKA King's Valley]",,,,,,,,,,,
@,,931b404c809b39a68cdc4b74ad905a008d46143d,,,"Chuugaku Hisshuu Eitango: Chuugaku 2-Nen",,,,1983,Sega,jp,@,,,,,,,,,,,,
@,,94089be091af476c5628225e0262396faa5394f1,,,"Girl's Garden",,,,1984,Aaronix,tw,@,"[AKA Meiren Hui Yingxiong]",,,,,,,,,,,
