"Group","SHA1","ID","Folder","FileName","Title","[Removed]","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
"Public Domain",,190486646e2f5242f72ac84c251043440655b3db,,,"Wonderswan Register Diagnostic",,,"Copyright Public Domain",2002,Zalas,,,,,,,,,,,,,,
@,,1a86403d7896d60fcb7a4c09367f5a976c7ea5a5,,,Tetris,,,,2002/04/18,Vanguard,@,,[SWJ-VGDC01],,,,,,,,,,,
@,,1bc1e831b9e2aefc59f2cac5f19f7d22be574fc1,,,"Gekitou! Crash Gear Turbo: Gear Champion League",,,,2002/08/10,Wiz,@,,[SWJ-WIZC01],,,,,,,,,,,
@,,1c8bbb23532454103ccecff1542acefc223125ea,,,"Final Fantasy IV",,,,2002/03/28,Squaresoft,@,,[v0.5-20040711],,,"en MottZilla",,,,,,,,
@,,1d6a62fa40726dc464451144941369410922de0c,,,Diaswan,,,"Copyright Public Domain",2004,Orion,@,,,,,,,,,,,,,
"Public Domain",,1db78ac860652e4a1380f2a850e6e32e992bc3dc,,,"Hello World",,,"Copyright Public Domain",2001,"Sir Dragoon",,,,,,,,,,,,,,
@,,1dc66ac8ac21eb651723428657c9b18cb80d9ee0,,,"Judgement Silversword: Rebirth Edition",,,,2004/02/05,Qute,@,,,,,,,,,,,,,
@,,1e4d8e8b3d16083968055cc76b604da91fa0a132,,,"Dicing Knight.",,,,2004/05/31,Qute,@,,,,,,,,,,,,,
"Shaman King: Asu e no Ishi",,1e735d1e83a7bfa06c5c717c7e8a386d55a8e3f0,,,"Shaman King: Asu heno Ishi",,,"v 1.0",2002/08/29,Bandai,,,[SWJ-BANC2D],,,,,,,,,,,
"GunPey Ex",,1eb729aa9ab0a7df6f8a3470a6fede59d7622d4a,,,,,,,2000/12/09,Bandai,,,[SWJ-BANC02],,,,,,,,,,,
"Hanafuda Shiyouyo",,1eda3327eb9b5a5844a95ac789f71b669f4cb6a7,,,"Hanafuda Shiyouyo",,,,2000/02/17,Success,,o,"o 1; [SWJ-KGT005]",,,,,,,,,,,
Harobots,,1f42c5694a798de8ff3c68f63dfc7395be1669a5,,,Harobots,,,,1999/10/07,Sunrise,,,[SWJ-SRV001],,,,,,,,,,,
"Kaze no Klonoa: Moonlight Museum",,207a3ceb9a09eabca6e455deeb7035e7e04c9795,,,"Kaze no Klonoa: Moonlight Museum",,,,1999/05/20,Bandai,,,[SWJ-BAN008],,,,,,,,,,,
"Mr. Driller",,209232f1e91c05140529d466c0ef6b7ad3386de1,,,"Mr. Driller",,,,2001/04/05,Namco,,,[SWJ-NMCC01],,,,,,,,,,,
@,,20b671bc14a8ab6373deecc641479d09658ac21f,,,"Kidou Senshi Gundam: Giren no Yabou: Tokubetsu Hen: Aoki Hoshi no Hasha",,,,2003/05/02,Bandai,@,,[SWJ-BANC3A],,,,,,,,,,,
"Robot Works",,2117ed92e8cb4ae61868535f1d4d16851b480890,,,"Robot Works",,,,2001,Bandai,xa,,,,,,,,,,,,,
"Macross: True Love Song",,211e051db3fd4d7ae1ea143e043f87cfbcec5f1c,,,"Macross: True Love Song",,,,2000/03/23,"Layup - Upstar",,,[SWJ-LAY001],,,,,,,,,,,
"Mikeneko Holmes: Ghost Panic",,2130c35f3a47b32655da08cad8cf694e6efe90ed,,,"Mikeneko Holmes: Ghost Panic",,,,2001/04/26,Kobunsha,jp,,[SWJ-KBSC02],EEPROM,,,,,,,,,,
"Kinnikuman II-Sei: Choujin Seisenshi",,221f1ba6e173a61d446f410f030b0a00eb38abe1,,,,,,,2003/01/30,Bandai,jp,b,"b 1; [SWJ-BANC34]",,,,,,,,,,,
@,,221f48e97ec2c6d0046213956e1f36e923c0dec2,,,"From TV Animation One Piece: Chopper no Daibouken",,,,2003/10/16,Bandai,@,,[SWJ-BANC3B],,,,,,,,,,,
"Mikeneko Holmes: Ghost Panic",,2358701531e8a38419859cd70bf2fbbd967b6745,,,"Mikeneko Holmes: Ghost Panic",,,,2001/04/26,Kobunsha,jp,,[SWJ-KBSC02],,,,,,,,,,,
"From TV Animation One Piece: Niji no Shima Densetsu",,2410690ad46667c52b63402df9e95fc8a75cee62,,,"From TV Animation One Piece: Niji no Shima Densetsu",,,,2001/09/13,Bandai,,,[SWJ-BANC19],,,,,,,,,,,
"Pocket no Naka no Doraemon",,258887b59357c89f855380b4e032e6aaa43982e7,,,"Pocket no Naka no Doraemon",,,,2001/05/24,Bandai,,,[SWJ-BANC0D],"SRAM Sekret",,,,,,,,,,
"Final Fantasy",,26628eb76c16880b6faf2e706778d91a60144078,,,"Final Fantasy",,,,2000/12/09,Squaresoft,,,[SWJ-SQRC01],,,,,,,,,,,
"Mobile Suit Gundam MSVS",,2688ca67ac31ce3d5c3523b0e11cad55e70fa257,,,"Mobile Suit Gundam MSVS",,,,1999/09/26,Bandai,,,[SWJ-BAN015],,,,,,,,,,,
@,,2809c818694788a7afdf8d992765655d941c0aaf,,,"WonderSwan Color Text Demo",,,"Copyright Public Domain",200x,@,@,,,,,,,,,,,,,
"Mahjong Touryuumon",,281079b22cb213ee4dda5c304b5b5be028130929,,,"Mahjong Touryuumon",,,,1999/03/11,Sammy,,,[SWJ-SUM001],,,,,,,,,,,
"Public Domain",,28a0e1bccc4c10a57379f87c67c6c5ecf07fb0f4,,,"#Wonderwitch Intro",,,"Copyright Public Domain",2002,"Slanina, Tomasz",,,,,,,,,,,,,,
"Shin Nihon Pro Wrestling: Toukon Retsuden",,28d876a7d1c4d78d4dcd2c644ca37125e625b4a5,,,,,,,1999/03/04,Tomy,jp,,[SWJ-TMY001],"SRAM Sekret",,,,,,,,,,
"Kidou Senshi Gundam Vol. 1: Side 7",,29e72e7f96f145a0ff56e447f577310df2ec463b,,,"Kidou Senshi Gundam Vol. 1: Side 7",,,,2001/02/01,Bandai,,,[SWJ-BANC07],,,,,,,,,,,
@,,2b20f4651b99442f01d1569c32f61342e1e71c15,,,"Jbkun Test 4 for WWWLib",,,"Copyright Public Domain",2004,Jbkun,@,,,,,,,,,,,,,
"Star Hearts: Hoshi to Daichi no Shisha",,2b2c2a0566646156bcdde2a00b728c5b8218aa23,,,"Star Hearts: Hoshi to Daichi no Shisha",,,,2001/09/27,Bandai,,,[SWJ-BANC16],,,,,,,,,,,
"Hunter X Hunter: Sorezore no Ketsui",,2da2a9bcff4813abcb5b2c88095258d89a575378,,,"Hunter X Hunter: Sorezore no Ketsui",,,,2001/04/26,Bandai,,,[SWJ-BANC0F],,,,,,,,,,,
"Hanjuku Hero: Ah, Sekai yo Hanjuku Nare...!!",,2e3f221d6965f53b29586d2019ee81dec6d1ac30,,,"Hanjuku Hero: Ah, Sekai yo Hanjuku Nare...!!",,,,2002/02/14,Squaresoft,,,[SWJ-SQRC06],,,,,,,,,,,
"Tanjou Debut for WonderSwan",,2f35d250b8ddeb98ca3a2704a4ad85713f4c71b0,,,"Tanjou Debut for WonderSwan",,,,2000/02/24,"Bandai Visual",,,[SWJ-BVL003],,,,,,,,,,,
"Digimon Tamers: Digimon Medley",,305fbcd98f99e215fd8ae8f95fd9eff01d412613,,,"Digimon Tamers: Digimon Medley",,,,2001/07/12,Bandai,,,[SWJ-BANC14],EEPROM,,,,,,,,,,
"Anchor Field",,3141d4869d594c2fffd79db3177a0f2e2eb6a794,,,,,,,1999/06/24,Sammy,jp,,[SWJ-SUM004],EEPROM,,,,,,,,,,
"Medarot Perfect Edition: Kuwagata Version",,315061e4739e947175d6ad7f006498cd61a33f8c,,,"Medarot Perfect Edition: Kuwagata Version",,,,1999/05/04,Imagineer,,,[SWJ-MGA002],,,,,,,,,,,
"Digimon Tamers: Brave Tamer",,31a718cfbcff2dab56ab9606a0b5b2dfccecbbcb,,,"Digimon Tamers: Brave Tamer",,,,2001/12/29,Bandai,,,[SWJ-BANC1D],,,,,,,,,,,
"Pro Mahjong Kiwame for WonderSwan",,32013a7a745a3aa2fd63cc9427c5e1f2635655ed,,,,,,"Rev 1",1999/10/07,Athena,jp,,[SWJ-ATN001],,,,,,,,,,,
"Flash: Koibito-kun",,34bcd5195124b9fb9b21d3f4e5647f321b0f8e49,,,,,,,2000/12/28,Kobunsha,,,[SWJ-KBSC01],EEPROM,,,,,,,,,,
@,,35443e2ef8a20a0ad82da1274b2768c16239dd46,,,"Kidou Senshi Gundam Vol. 3: A Baoa Qu",,,,2002/05/08,Bandai,@,,[SWJ-BANC25],,,,,,,,,,,
"Buffers Evolution",,35eea568f756bacf533bb9aaad7e3239ba00e411,,,"Buffers Evolution",,,,1999/12/09,Bandai,,,[SWJ-BAN01B],,,,,,,,,,,
"Meitantei Conan: Yuugure no Oujo",,36d8bc2ce7920d940943358d48f056f81055ab34,,,,,,,2001/04/05,Bandai,jp,,[SWJ-BANC0E],,,,,,,,,,,
"Uzumaki: Noroi Simulation",,38f708a4c0c4fcec0cf4d6ce051d1ff76466d617,,,,,,,2000/03/04,"Omega Micott",jp,,[SWJ-OMM002],,,,,,,,,,,
"Raku Jongg",,38f94e5a7ca7e9f29330a9b462b19e37e1cba951,,,"Raku Jongg",,,,2001/05/31,Bandai,,,[SWJ-BANC10],"SRAM Sekret",,,,,,,,,,
"Cardcaptor Sakura: Sakura to Fushigi na Clow Card",,39e9a897b681b2c326b052827d7c534f22290286,,,"Cardcaptor Sakura: Sakura to Fushigi na Clow Card",,,,1999/12/02,Bandai,,,[SWJ-BAN01A],,,,,,,,,,,
@,,3a41a3b8fc126da07e2a82c21056a45c15efbc98,,,"RUN=DIM: Return to Earth",,,,2002/02/07,"Digital Dream",@,,[SWJ-DDJC01],,,,,,,,,,,
@,,3a4c5d1c08b74cf05b4cb64cbfd7c3dd8b1c3789,,,"Gransta Chronicle",,,,2002/06/13,Megatron,@,,[SWJ-MGTC01],,,,,,,,,,,
"Chocobo no Fushigi na Dungeon for WonderSwan",,3b62fd2841602f1077270848ab7a3aad58712ee9,,,"Chocobo no Fushigi na Dungeon for WonderSwan",,,,1999/03/04,Bandai,,,[SWJ-BAN002],,,,,,,,,,,
"Public Domain",,3b81949799514f7bc78e54b2143e3a0231dfd5db,,,"#Wonderwitch Intro",,,"v 1.4; Copyright Public Domain",2001,"Slanina, Tomasz",,,,,,,,,,,,,,
"Public Domain",,3c5f4235129dbc36339aa8d0bb4534a8558895c4,,,"Color Scrolling Demo",,,"Copyright Public Domain",2001,"Doty, Charles",,,,,,,,,,,,,,
"Front Mission",,3c752694ab651f9a00ccd39c334a2e3ff78f5cb2,,,"Front Mission",,,,2002/07/12,Squaresoft,,,[SWJ-SQRC10],,,,,,,,,,,
"Morita Shougi for WonderSwan",,3ce41c90cfc1d53a89ade2c88e0b16cdc92c0268,,,,,,,1999/12/22,"Yuki Enterprise",jp,o,"o 1; [SWJ-YKE001]",,,,,,,,,,,
"Dokodemo Hamster",,3d5a1ed77e721908eb1145aaedef17c0ee6355ae,,,"Dokodemo Hamster",,,,2000/01/06,Interbec,,,[SWJ-BEC003],,,,,,,,,,,
@,,3e25659863c173ad350f031db2e502d414f34f4a,,,"Digimon Adventure 02: Tag Tamers",,,,2000/08/03,Bandai,@,,[v0.25.2-20030924],,,"en PmHacks",,,,,,,,
"Slither Link",,3e31beaca985ac5041c6e95e0d07f163168e190d,,,"Slither Link",,,,2000/04/20,Bandai,,,[SWJ-BAN029],,,,,,,,,,,
"Digital Monster: D-Project",,3e8fffe1f607ea5f855397d9d877cecb285507f7,,,"Digital Monster: D-Project",,,,2002/08/03,Bandai,,,[SWJ-BANC2E],,,,,,,,,,,
@,,3f39ff494a3d8dd9d55a2e7cf86b47f1c8e8a156,,,"Digimon Tamers: Battle Spirit Ver.1.5",,,,2002/04/27,Bandai,@,,[SWJ-BANC30],,,,,,,,,,,
"Soccer Yarou!: Challenge the World",,435f207cce79ad6ac5b564e8a37e0d4395bd3739,,,"Soccer Yarou!: Challenge the World",,,,1999/08/12,"Coconuts Japan",,o,"o 1; [SWJ-CCJ002]",,,,,,,,,,,
"Star Hearts: Hoshi to Daichi no Shisha",,44940ae0140df1bd91d742a166c459df1b6c2339,,,"Star Hearts: Hoshi to Daichi no Shisha: Taikenban",,,,2001,Bandai,,,"[demo version]",,,,,,,,,,,
"Digimon Adventure 02: Tag Tamers",,44a5502b70ea75926b87377e3f634c8093bc574a,,,"Digimon Adventure 02: Tag Tamers",,,,2000/08/03,Bandai,,,[SWJ-BAN032],,,,,,,,,,,
"Hanafuda Shiyouyo",,4504b62212e1637dfd92e4f985a8497fa38941cd,,,"Hanafuda Shiyouyo",,,,2000/02/17,Success,,,[SWJ-KGT005],,,,,,,,,,,
"Keiba Yosou Shien Soft: Yosou Shinkaron",,461f87e6e301b0dbb6324d908d4ca7efd7518e20,,,"Keiba Yosou Shien Soft: Yosou Shinkaron",,,,1999/09/14,"Media Entertainment",jp,,[SWJ-MDE001],,,,,,,,,,,
"Public Domain",,471b43ed353d6add1c1a42621cebac141272c84c,,,"Color Bars Demo",,,"Copyright Public Domain",2001,"Sir Dragoon",,,,,,,,,,,,,,
"Shaman King: Asu e no Ishi",,473195666a633573c777d3be98d7e8f46569c84b,,,"Shaman King: Asu heno Ishi",,,"v 1.1",2002/08/29,Bandai,,,[SWJ-BANC2D],,,,,,,,,,,
"Side Pocket for WonderSwan",,4a756dab81e0101475dc2e5494270f3df7dac1e6,,,,,,,1999/11/25,"Data East",jp,,[SWJ-DTE001],,,,,,,,,,,
"Public Domain",,4aefebd63691f22e5725d7590f6b971c7b26ae4a,,,"Wondersnake 2",,,"Copyright Public Domain",2003,"Kojote - Slanina, Tomasz",,,,,,,,,,,,,,
"Clock Tower for WonderSwan",,4ba44f23d3b43ee730ce34d56f4cadaf429b6d1b,,,,,,,1999/12/09,Human,,,[SWJ-KGT002],,,,,,,,,,,
"Final Lap Special: GT & Formula Machine",,4c3f092b095bdb0afdaf8d32d4c54b4d6c209c96,,,"Final Lap Special: GT & Formula Machine",,,,2001/11/15,Bandai,,,[SWJ-BANC23],,,,,,,,,,,
"Uzumaki: Denshi Kaiki Hen",,4c8166e0632bdb8c098d586a7b1522ed7b63b5f7,,,"Uzumaki: Denshi Kaiki Hen",,,,2000/02/03,"Omega Micott",,,[SWJ-OMM001],,,,,,,,,,,
"Robot Works",,4d4d4a3fde6b1dbbc8f008fbd035fb59624dfba7,,,"Robot Works",,,,2000/12/07,Bandai,,,"[WonderBorg]; [SWJ-BAN033]",,,,,,,,,,,
"Nihon Pro Mahjong Renmei Kounin: Tetsuman",,4eefc5a51008c2ab33e8d04064ec9bdcbc03d036,,,,,,"Rev 2",1999/07/15,Naxat,jp,,[SWJ-KGT001],,,,,,,,,,,
"Umizuri ni Ikou!",,4f739292d11a45490851eaf40c0a7081824ad75a,,,"Umizuri ni Ikou!",,,,1999/04/01,"Coconuts Japan",,,[SWJ-CCJ001],,,,,,,,,,,
"Gensou Maden Saiyuuki Retribution: Hi no Ataru Basho de",,4fba961b926932337f2c1877f87328222deae786,,,"Gensou Maden Saiyuuki Retribution: Hi no Ataru Basho de",,,,2001/06/07,Movic,,,[SWJ-SESC01],"SRAM Sekret",,,,,,,,,,
"Medarot Perfect Edition: Kabuto Version",,509e5748e5efdfb56093c78ae886153dd1838215,,,"Medarot Perfect Edition: Kabuto Version",,,,1999/05/04,Imagineer,,,[SWJ-MGA001],,,,,,,,,,,
"Public Domain",,50cdb961b4037002515ee3aa83ad1a7d9ccdbf23,,,"Chaos Demo",,,"v 2.0fix; Copyright Public Domain",2001,"Doty, Charles",,,,,,,,,,,,,,
"Final Fantasy II",,52a710ccbcc500260a9cfb646748d020a818608f,,,"Final Fantasy II",,,,2001/05/03,Squaresoft,,,[v0.10-20020421],,,"en Erik Zirkle",,,,,,,,
@,,52b154a3e36d01357649a9f7f614139ce6cc46b8,,,"Kosodate Quiz Dokodemo: My Angel",,,,1999/04/15,Namco,@,,[SWJ-BAN007],,,,,,,,,,,
"Dragon Ball",,5384f9974c66e5e26129a4709976de0bb1ae1f17,,,"Dragon Ball",,,,2003/11/20,Bandai,,,[SWJ-BANC3C],,,,,,,,,,,
"Golden Axe",,53c909e686e1ea1407a818a57d939da5cfb65014,,,"Golden Axe",,,,2002/02/28,Bandai,,,[SWJ-BANC2B],,"+4 Sekret",,,,,,,,,
"Beatmania for WonderSwan",,544e76133fa53fc0ae5e00e3465b9cf634f14fd0,,,,,,,1999/04/28,Konami,jp,,[SWJ-KNM001],,,,,,,,,,,
"Space Invaders",,54dd6e3fe81a8a384a0ffdd7a39211a5de9174c7,,,"Space Invaders",,,,1999/05/13,"Sun Soft",,,[SWJ-SUN002],,,,,,,,,,,
"Wonder Classic",,55b54944efd6e277fa7140925ed2457a8cfb40b8,,,,,,,2001/01/18,Bandai,jp,,[SWJ-BANC06],,,,,,,,,,,
"Pocket no Naka no Doraemon",,57338999b949589c36ce116a30f433e9618685e4,,,"Pocket no Naka no Doraemon",,,,2001/05/24,Bandai,,,[SWJ-BANC0D],,,,,,,,,,,
"Hunter X Hunter: Ishi wo Tsugu Mono",,57b4278fc5812f52413ca65f45225922d4f2ec3d,,,"Hunter X Hunter: Ishi wo Tsugu Mono",,,"Rev 2",2000/06/01,Bandai,jp,,[SWJ-BAN02A],,,,,,,,,,,
@,,57f37e9a14e5d856e174ee0843f5157afe3f37f6,,,"Display A Picture Sample",,,"v 0.2",2006,"Herberg, Tharo",@,,,,,,,,,,,,,
"Hunter X Hunter: Sorezore no Ketsui",,5840689046e86dc77bc60d6308f2a4111f4f7a20,,,"Hunter X Hunter: Sorezore no Ketsui",,,,2001/04/26,Bandai,,,[SWJ-BANC0F],EEPROM,,,,,,,,,,
"Rhyme Rider Kerorican",,5973306a864c3804ee10b209e45067807d39a4de,,,"Rhyme Rider Kerorican",,,,2000/12/09,Bandai,,,[SWJ-BANC01],,,,,,,,,,,
"Sangokushi II for WonderSwan",,59d904149c3f405357b2715468d509095388a194,,,,,,,2000/04/06,Koei,jp,,[SWJ-KEX004],,,,,,,,,,,
"Public Domain",,5ad3c099614d8b0647378ced6a8410ba930926c2,,,"#Wonderwitch Intro",,,"Copyright Public Domain",2001,"Slanina, Tomasz",,,,,,,,,,,,,,
"Final Lap Special: GT & Formula Machine",,5bc5b33a1c9162953671c373cabf853fb5188885,,,"Final Lap Special: GT & Formula Machine",,,,2001/11/15,Bandai,,,[SWJ-BANC23],"SRAM Sekret",,,,,,,,,,
"Digimon: Ver. WonderSwan",,5cc59ec1687fe83ec5fb048d3dfc37849747df34,,,"Digimon: Ver. WonderSwan",,,,2000,Bandai,xa,,,,,,,,,,,,,
"Armored Unit",,5db29519054c3e60516e4a496d3bfad8272cc330,,,"Armored Unit",,,,1999/11/18,Sammy,,o,"o 1; [SWJ-SUM003]",EEPROM,,,,,,,,,,
"SD Gundam G Generation: Gather Beat",,5e5db8b066e1b41c5c12a2d4ffa97b73ed6c3f03,,,,,,,2000/07/13,Bandai,jp,,[SWJ-BAN030],,,,,,,,,,,
"Puzzle Bobble",,5e7dabb66b0ca580481aa79ee8b8a5b0c6ce6592,,,"Puzzle Bobble",,,,1999/07/01,"Sun Soft",,,[SWJ-SUN003],,,,,,,,,,,
"Makaimura for WonderSwan",,5eaeab859e5f647fac354dad285a311387ea126b,,,"Makaimura for WonderSwan",,,,1999/07/22,Bandai,jp,,[SWJ-BAN011],,,,,,,,,,,
"Super Robot Taisen Compact 2: Dai-2-bu: Uchuu Gekishin Hen",,6014ac0b8978e710f26c9cc41180cdf788584743,,,,,,,2000/09/14,Banpresto,,,[SWJ-BPR006],,,,,,,,,,,
"Tetsujin 28 Gou",,65c4c6aaa36328bba5d56419af59af5d3420ed78,,,"Tetsujin 28 Gou",,,,1999/12/22,"Mega House",,,[SWJ-MGH001],,,,,,,,,,,
"Dokodemo Hamster 3: Odekake Saffron",,66b4bd15ef67dc324736a1cc78d6aca335f03389,,,"Dokodemo Hamster 3: Odekake Saffron",,,,2000/12/14,Interbec,,,[SWJ-BECC01],,,,,,,,,,,
"Wasabi Produce: Street Dancer",,672cfc0e4547b2721d11b67476391b6e6cca81ae,,,"Wasabi Produce: Street Dancer",,,,2000/04/27,Bandai,,,[SWJ-BAN028],,,,,,,,,,,
"Crazy Climber",,67a80b7fb00c3afe0ce9b0f8975c6d250a2cd49d,,,"Crazy Climber",,,,1999/07/29,"Nihon Bussan",,,[SWJ-NHB001],,,,,,,,,,,
"Arc the Lad: Kishin Fukkatsu",,68981c05d8118d4189100eed462ee6639328dc59,,,"Arc the Lad: Kishin Fukkatsu",,,,2002/07/04,Bandai,,,[SWJ-BANC2A],,,,,,,,,,,
"Nice On",,6a479ee45e69cd3d6cc6cdda5a60eff3077953b0,,,"Nice On",,,,1999/04/08,Sammy,,,[SWJ-SUM002],,,,,,,,,,,
"With You: Mitsumete Itai",,6a4f4a03c367ccf00aa7462191c929a2736eb44b,,,"With You: Mitsumete Itai",,,,2001/01/25,"Shall Luck",jp,,[SWJ-SHLC01],,,,,,,,,,,
"Puzzle Bobble",,6a571d151f8df410953a50638cb8dc97d8a7bc39,,,"Puzzle Bobble",,,,1999/07/01,"Sun Soft",,,[SWJ-SUN003],EEPROM,,,,,,,,,,
"Makai Toushi Sa-Ga",,6b7a9b810c932974cbda4de7178cf0ea5a90e628,,,"Makai Toushi Sa-Ga",,,,2002/03/20,Squaresoft,,,[SWJ-SQRC08],,,,,,,,,,,
"Final Fantasy IV",,6d707e88c85d1b5ef708631e709668006a9ee244,,,"Final Fantasy IV",,,,2002/03/28,Squaresoft,,,[SWJ-SQRC09],,,,,,,,,,,
"Guilty Gear Petit",,6d8f8fd330f32374b55cf6b998196a7db2131073,,,"Guilty Gear Petit",,,,2001/01/25,Sammy,,,[SWJ-SUMC07],,,,,,,,,,,
"Soccer Yarou!: Challenge the World",,6eec04244f4d85807988a2331e7031d0c3549646,,,"Soccer Yarou!: Challenge the World",,,,1999/08/12,"Coconuts Japan",,,[SWJ-CCJ002],,,,,,,,,,,
"Sennou Millennium",,708288e70b3186f6c0ef07acaef1b50fe6b7ab22,,,"Sennou Millennium",,,,2000/03/16,Bandai,jp,,[SWJ-BAN025],,,,,,,,,,,
"WonderSwan Handy Sonar",,70d65a936ee1dfc2b89c543312c205285d955efb,,,"WonderSwan Handy Sonar",,,,1999/05/13,Bandai,,,[SWJ-BAN00F],,,,,,,,,,,
Terrors,,7148d750f12b5da9a0efd99f5a5a7ccadecbdf60,,,Terrors,,,,1999/08/05,Bandai,,,"[SWJ-BAN014 or SWJ-BAN018]",,,,,,,,,,,
"Nice On",,72a412c70f4a11a1df24ed47aacfd79ab1277b43,,,"Nice On",,,,1999/04/08,Sammy,,,[SWJ-SUM002],EEPROM,,,,,,,,,,
