Group,SHA1,ID,Folder,FileName,Title,[Removed],"Sort Title",Version,Year,Publisher,Zone,DumpStatus,"Dump Info",Fixed,Trainer,Translation,Pirate,Cracked,Modified,Hack,"Extra Parameters",,,
"Dungeon Explorer",,9edca936c46b2b49cd1da20908502766273ba6e5,,,,,,,,,us,o,,,,,,,,1,,,,
"Dungeon Explorer",,4caace78445729d56c0fb3de2d83bba864c84a4c,,,,,,,1989,"Hudson | NEC",us,?,,"PC Engine compatible",,,,,,1,@,,,
Energy,,ff9a250439decbe9f77b0a8453346e97d5691d9f,,,,,,,,,jp,?,,,,,,,,,,,,
"Dungeon Explorer",,db675b6d2b44f08e673251732340ed6f1e56046b,,,,,,,1989,"Hudson | NEC",us,o,,"PC Engine compatible",,,,,,1,@,,,
"Dungeon Explorer",,bc2d54616cea2a6742f5bd748b2b2e28e36b0f03,,,,,,,,,jp,b,,,,,,,,,,,,
"Dungeon Explorer",,58af48eea6f29c30325fcba81f7eb0b25f103bf4,,,,,,,,,us,?,,,,,,,,,,,,
"Dungeon Explorer",,41f56c60e1da3d7bf43d2df5bbc2f83a0bd67b12,,,,,,,,,jp,b,,,,,,,,,,,,
"Final Blaster",,f9c634e70a64fbb1233616b22f68df0a16482a79,,,,,,,1990,Namco,jp,o,,,,,,,,,@,,,
"Final Blaster",,5dd9a9636003583490f28153b32717cb0c85d540,,,,,,,,,jp,b,,,,,,,,,,,,
"Final Blaster",,25daf9ad7d8cdcc6ce770a3b6bdd0fa03cee94b4,,,,,,,,,jp,?,,,,,,,,,,,,
"Fighting Run",,dfb076bd18171658352727c86c91cd9edaaab3f7,,,,,,,1991,Nichibutsu,jp,b,,,,,,,,,@,,,
"Fantasy Zone",,7c05e2a691a94e2a42a621d7cc784d8010383ecb,,,,,,,1989,"NEC Avenue",us,b,,,,,,,,,@,,,
"Fighting Run",,54c01da49ba9d3702a35313bf56c5fc4c02e3ec9,,,,,,,,,jp,b,,,,,,,,,,,,
"Fighting Run",,6ef75028cd9401c291194e6b51c027b8ff593f3c,,,,,,,,,jp,?,,,,,,,,,,,,
"Final Lap Twin",,52474b446f8ad057e1ac777a282bb3d8b2b3c33f,,,,,,,1990,NEC,us,o,,"PC Engine compatible",,,,,,1,@,,,
"Final Lap Twin",,e8a7e21a3f688dcaee5ee2cc042f77222812952f,,,,,,,1990,NEC,us,?,,"PC Engine compatible",,,,,,1,@,,,
"Final Lap Twin",,22b9a490654d89cad92dbf4c4fe439a894af8aa6,,,,,,,,,us,?,,,,,,,,,,,,
"Final Lap Twin",,31691ba763ee3a58a9e34b1dd42b56ef6985f12a,,,,,,,1989,Namco,jp,o,,,,,,,,,@,,,
"Final Blaster",,2fa65a0cc383c467f2f8e2ecf0bc665c127a6abf,,,,,,,,,jp,b,,,,,,,,,,,,
"Final Blaster",,d140f7c3cc16365060846ab5723bb8f31f33418e,,,,,,,,,jp,b,,,,,,,,,,,,
"Final Lap Twin",,3d9d44d10ec459229ba19752407f18cd57dbd666,,,,,,,,,us,b,,,,,,,,,,,,
"F1 Triple Battle",,5edb8d2903ef12263452a33358934025717012f6,,,,,,,1989,Human,jp,o,,,,,,,,,@,,,
"F1 Triple Battle",,a8e85b58627d1ab1a3d1fe7adbac7b44c788c4c8,,,,,,,,,jp,o,,,,,,,,,,,,
"F1 Triple Battle",,d936dcb43e38ebd3f5ba736248b20d93456c069a,,,,,,,,,jp,?,,,,,,,,,,,,
"F1 Triple Battle",,5aa5914efe18171ee2c4d5e44b7e240c4fcb5017,,,,,,,1989,Human,jp,o,,,,,,,,,@,,,
"F1 Circus '92: Speed of Sound",,4173fed92f5ea606aa1d3d8c9da47489e2d1522b,,,,,,,1992,Nichibutsu,jp,o,,,,,,,,,@,,,
"F1 Circus '92: Speed of Sound",,e53ac7db91c003875a2042d16fa5355046e05002,,,,,,,,,jp,?,,,,,,,,,,,,
"F1 Triple Battle",,31e3d097ba1adf043e74e022b848b88ecd27587f,,,,,,,,,jp,b,,,,,,,,,,,,
"Fantasy Zone",,a9e399759d9b8a2402c0c82bdd6c6d19791a4799,,,,,,,1989,"NEC Avenue",us,b,,,,,,,,,@,,,
"Fantasy Zone",,f8e9eec23d6a6a3f772f0f9447393aca870efb00,,,,,,,,,jp,?,,,,,,,,,,,,
"Fantasy Zone",,7c419163d860691dfea9720639921190e20e3c97,,,,,,,1989,"NEC Avenue",us,?,,,,,,,,,@,,,
"Fantasy Zone",,638a6a030ca1eb74db8d17dcf525b4305206cd98,,,,,,,1989,"NEC Avenue",us,?,,"PC Engine compatible",,,,,,1,@,,,
Falcon,,e4608419c766d4ca429e9f5f76d32f0b5822493b,,,,,,,,,us,?,,,,,,,,,,,,
Falcon,,11dfcf5e9491c1f7ab8e4a7242dc234fa4afb6d5,,,,,,,1992,"Sphere | Turbo Technologies",us,?,,"PC Engine compatible",,,,,,1,@,,,
Falcon,,00b24b0785ec7d32c1e80541c9551fd5fe194755,,,,,,,,,us,b,,,,,,,,,,,,
"King of Casino",,b3bca08f73e6e1949b1f969a3d3e8a71b705673a,,,,,,,1990,NEC,us,?,,,,,,,,,@,,,
"King of Casino",,f93c29de1bbbd8a25167921ac54d24668d204a62,,,,,,,1990,Victor,jp,b,,,,,,,,,@,,,
Klax,,70eb385b648ca7e42299cea7ce52127062f8f802,,,,,,,,,jp,?,,,,,,,,,,,,
"King of Casino",,a4213d1c0734db0505986d03684bda386b82e1cd,,,,,,,1990,NEC,us,?,,"PC Engine compatible",,,,,,1,@,,,
"King of Casino",,33ce001e9f217543be227e371887d16ef4bb0b8a,,,,,,,,,jp,b,,,,,,,,,,,,
"King of Casino",,fa39780435385e83ebf50171496433cb1266740d,,,,,,,,,jp,?,,,,,,,,,,,,
"King of Casino",,f90de17d442effec2287ee2119ffe1ef6a002a98,,,,,,,,,jp,b,,,,,,,,,,,,
"Knight Rider Special",,138d1760554554102cba62dfce0a4104c304b7f1,,,,,,,,,jp,?,,,,,,,,,,,,
"Kore ga Pro Yakyuu '89",,d0b168664ef153a3e5f179d7bf291dbcbe0a3ba5,,,,,,,,,jp,?,,,,,,,,,,,,
"Kore ga Pro Yakyuu '90",,e7fc6f18889c5e6c4d9132f105f22c4592942639,,,,,,,,,jp,?,,,,,,,,,,,,
"Knight Rider Special",,354a0d417e2a611d6d478da9e648076be62ad182,,,,,,,,,jp,b,,,,,,,,,,,,
Klax,,1e7bade30d076b958fb794aef21e0a34b21c9b1e,,,,,,,1990,Tengen,us,?,,"PC Engine compatible",,,,,,1,@,,,
Klax,,4f032fdf7d836d021315bcd9b9903fdad4907f31,,,,,,,1990,Tengen,us,?,,,,,,,,,@,,,
"Knight Rider Special",,0584654a534f3fa8f0d27f1c4ca87efa43aa1a5e,,,,,,,,,jp,?,,,,,,,,1,,,,
"Keith Courage in Alpha Zones",,09f37cf6ddbbf202994d88ac62225ca027e791ac,,,,,,,1989,"Hudson | NEC",us,?,,,,,,,,,@,,,
"Keith Courage in Alpha Zones",,2e45054381593663a971cea96e3cc0697fb2e318,,,,,,,1989,"Hudson | NEC",us,b,,"PC Engine compatible",,,,,,1,@,,,
"Kick Ball",,aa503ea9d3a4a7811d3a00affdffaf2dba65b2e8,,,,,,,1990,"Masaya | NCS",jp,b,,,,,,,,,@,,,
"Keith Courage in Alpha Zones",,451d15fc761a609b8ca9cf112ba3a6f72963dd25,,,,,,,,,us,?,,,,,,,,2,,,,
"Kattobi! Takuhaikun",,2d58cb76bf1a6283e0ab64122acc29a99950ca7f,,,,,,,1990,"Tonkin House",jp,o,,,,,,,,,@,,,
"Keith Courage in Alpha Zones",,06ff950f8b8f119591f62a82ffd2f2414f3eba90,,,,,,,,GreekRoms,us,?,,,,el,,,,,@,,,
"Keith Courage in Alpha Zones",,4ab2c3f38c4763a224dafdf74e103a8bbf30298e,,,,,,,1989,"Hudson | NEC",us,?,,"PC Engine compatible",,,,,,1,@,,,
"Kiki Kaikai",,942cbefee1c8563e7c877f9b0280c5163945f57d,,,,,,,,,jp,b,,,,,,,,,,,,
"Kiki Kaikai",,71a37b1984bbb4889e5af4499c217d43818afaac,,,,,,,1990,Taito,jp,b,,,,,,,,,@,,,
"Kiki Kaikai",,4252ed22ea9515602bd6dfecf56d4e8a5548c2f4,,,,,,,,,jp,?,,,,,,,,,,,,
"Kiki Kaikai",,f3a5a55e74528a4f4f82bb167e35070c72b865e6,,,,,,,,,jp,b,,,,,,,,,,,,
"Kick Ball",,f2e59db46aa6bd70f0eec64566e113b53d56eb58,,,,,,,1990,"Masaya | NCS",jp,?,,,,,,,,,@,,,
"Kick Ball",,f8a3a69bda5192764c9e58d858c622b6435d2699,,,,,,,1990,"Masaya | NCS",jp,o,,,,,,,,,@,,,
"Kiki Kaikai",,b68536ef203c37049d3941fbed86f9c22bbed9f3,,,,,,,,,jp,o,,,,,,,,,,,,
"Legendary Axe II",,3d537fbd2a7181639d297b829ce3f7d7556e831b,,,,,,,1990,NEC,us,?,,,,,,,,,@,,,
"Legendary Axe II",,24b932a844bdf836cdfc3746e97b30edc29120c3,,,,,,,1990,NEC,us,b,,"PC Engine compatible",,,,,,,@,,,
"Lode Runner: Lost Labyrinth",,d2376376896646f60277395af97eac8717f4dda7,,,,,,,,DavidShadoff,jp,?,,,,en,,,,,,,,
"Legendary Axe II",,8b3ef394c611ccc2eda7c2e4229c6ff722bf2141,,,,,,,1990,NEC,us,?,,"PC Engine compatible",,,,,,1,@,,,
"Legend of Hero Tonma",,5c966dfd3fbf1fa163deb0dd4ca489f77f00648a,,,,,,,,,us,?,,,,,,,,,,,,
"Legendary Axe",,fc9829a802e400a088652b331e8522472f7ab2a0,,,,,,,1989,NEC,us,?,,,,,,,,,@,,,
"Legendary Axe",,1e42d533abc872e0fb810a45ee3a1349e23e699e,,,,,,,,,us,?,,,,,,,,1,,,,
"Magical Chase",,7c129af828dbd8ef7fb45abaaa22f6e9f4e41a59,,,,,,,,,jp,b,,,,,,,,,,,,
"Magical Chase",,50c940cc9b52167cb99dd760c25079a19fc0aa2b,,,,,,,,,us,!,,,,,,,,,,,,
"Magical Chase",,17c936682117225b2a73b0b9a7e2ba757fafbe12,,,,,,,,,jp,b,,,,,,,,,,,,
"Magical Chase",,a1b6247d340ed6a415cb9b1c9a95abe5c80ad41c,,,,,,,,,us,?,,,,,,,,1,,,,
"Lode Runner: Lost Labyrinth",,5dbca10d9028ab180f739a8f5c2d965b04f5ecd3,,,,,,,,,jp,b,,,,,,,,,,,,
"Lode Runner: Lost Labyrinth",,e5c7313a0505375ff5dc6610171e99f152619845,,,,,,,,,jp,?,,,,,,,,,,,,
"Madouou Granzort",,2d671b841cd222cd6526b917291b098b7ba83792,,,,,,SGX,,,jp,?,,,,,,,,,,,,
"Kyuukyoku Tiger",,c27badacf782f3e1b6afcd4f934b21ba802480af,,,,,,,,,jp,?,,,1,,,,,,,,,
"Kyuukyoku Tiger",,981a805c5d0ae3cf7f47ddc252711b26ceb658ed,,,,,,,,,jp,b,,,,,,,,,,,,
"Kyuukyoku Tiger",,e0251bf261029b1657a98edf7fe5fb112437f2d7,,,,,,,,,jp,b,,,,,,,,,,,,
"Kyuukyoku Tiger",,a4843786148cb8dc26c5f39da548990e965d1dbb,,,,,,,,,jp,?,,,,,,,,,,,,
"Kyuukyoku Mahjong Idol Graphic",,eb23cd043b679926322bedf51dfbfebf4a5cece4,,,,,,,,,jp,?,,,,,,,,,,,,
"Kyuukyoku Mahjong Idol Graphic II",,debce1121f5924cfde444cea2a5487aec10c0500,,,,,,,,,jp,?,,,,,,,,,,,,
"Kyuukyoku Tiger",,517dd5f0c3e9ec1a6a2e94e4ea8445790a33a1ce,,,,,,,,,jp,b,,,,,,,,,,,,
"Legend of Hero Tonma",,55aaa6f429e112bf39d99e8749bdfc0a35235784,,,,,,v095%,,FagEmul,us,?,,,,fr,,,,,,,,
"Legend of Hero Tonma",,d019a7d5a5af476a43c062382a469db793e91b5a,,,,,,,,,jp,b,,,,,,,,,,,,
"Legend of Hero Tonma",,352e91337db64bc7edd788e4ccb9c240c7040898,,,,,,,1991,Irem,jp,?,,,,,,,,,@,,,
"Legend of Hero Tonma",,446891e0d304797e86749439198f6b5050c5b9bb,,,,,,,,,jp,b,,,,,,,,,,,,
"Lady Sword",,6959f7d27faf72b76176d3a3c1bd14a6d0bbd1ae,,,,,,,,,jp,?,,,,,,,,,,,,
"Lady Sword",,5d76c3ffdb56c83854400da91a4257b380ac4941,,,,,,,,,jp,,,,,,,,,,,,,
"Legend of Hero Tonma",,abf0a1ff5630e12c77223a1404557fd128821467,,,,,,,1991,Irem,jp,,,,,,,,,,@,,,
"Honey in the Sky",,c92453d491343cb9ed7225aaff00618337536ee0,,,,,,,,,jp,b,,,,,,,,,,,,
"Honey in the Sky",,c237bb5f391a7c06da281ddca3566143fc703453,,,,,,,,,jp,b,,,,,,,,,,,,
"Honey in the Sky",,a6d4522433afb6144ae4a62b73ad93c88c3e1995,,,,,,,,,jp,b,,,,,,,,,,,,
"Honey in the Sky",,b075658a3bf9226b5b62e67a930d67716ece5e95,,,,,,,,,jp,?,,,,,,,,,,,,
"Hisou Kihei X Serd",,baffef60601bb4c5a2cb4313202883733712c316,,,,,,,,,jp,?,,,,,,,,,,,,
"Hisou Kihei X Serd",,df0ff19afdeb21c3325acc4560edc4c245be093d,,,,,,,1990,"Masaya | NCS",jp,o,,,,,,,,,@,,,
"Hit the Ice: VHL: Official Video Hockey League",,8b6540a31bf89a688f52d2aef755a22345eb60d4,,,,,,,,,us,!,,,,,,,,,,,,
"Image Fight",,751a8d3a7040f4ab15e3f0a172853a90a690b6f2,,,,,,,,,jp,?,,,,,,,,,,,,
"Image Fight",,d686fe278914c3295bcbc7a7d9691d7b9c3b3e25,,,,,,,,,jp,b,,,,,,,,,,,,
"Image Fight",,7a7a525ef304c1c90f54ababf799a5d3310d060e,,,,,,,,,jp,b,,,,,,,,,,,,
"Image Fight",,65d22ffc99a65fb32ec8c45a035953c8d745febb,,,,,,,,,jp,b,,,,,,,,,,,,
"Honey on the Road",,485f587aa773258ca790b9bf3619db1558c32e50,,,,,,,,,jp,?,,,,,,,,,,,,
"Honoo no Toukyuuji Dodge Danpei",,76f8a7bb0c4854576a38a0b87fa923625ce1bc3e,,,,,,,1992,Hudson,jp,?,,,,,,,,,@,,,
"Idol Hanafuda Fan Club",,55ccdf9f02339f02a2f62c61a10180ea8a24817d,,,,,,,1991,"Games Express",jp,?,,,,,,,,,@,,,
Gunboat,,0df6ede67061f5bca487fa01a8ea71640ef673a5,,,,,,,1992,NEC,us,?,,,,,,,,,@,,,
"Gunhed: Special Version",,f21597e7d04506c515b156acea7fdb4c70a5c1c8,,,,,,,1989,Hudson,jp,?,,,,,,,,,@,,,
"Hana Taka Daka!",,2446db0216815838eeb6350f42625aa68ff22e0b,,,,,,,1991,Taito,jp,b,,,,,,,,,@,,,
Gradius,,4046192e572269415004d9ac2c7f9b3a5ae1d05d,,,,,,,1991,Konami,jp,?,"Music stops | Ship graphic",,Invincible,,,,,,@,,,
Gradius,,b09a3b5f031ea34406a8841735413c3a3b586c3c,,,,,,,,,jp,,,,,,,,,,,,,
Gradius,,99a6a0ba7cff337f471be47833ad110433ae1082,,,,,,,,,jp,,,,,,,,,,,,,
Gradius,,338f62b6d57f30b1850c32f5ae0d8c26c761974b,,,,,,,1991,Konami,jp,?,,,,,,,,,@,,,
Hatris,,9b99c130059d9cf7fffa24015d254bea15810e91,,,,,,,1991,Microcabin,jp,o,,,,,,,,,@,,,
"Heavy Unit",,26b2fff305576ef58e75ca106544ba674ad0367a,,,,,,,,,jp,?,,,,,,,,,,,,
"Heavy Unit",,798451c4b354c1a98dbb4deed9b42ebfc33a008d,,,,,,,1989,Taito,jp,o,,,,,,,,,@,,,
Hatris,,48e2387d3f929bd69e0a13ff4b591ca5e4d65f27,,,,,,,,,jp,?,,,,,,,,,,,,
"Hana Taka Daka!",,5861b684299a67843fb53321cc031c9c5b07cc54,,,,,,,,,jp,?,,,,,,,,,,,,
"Hana Taka Daka!",,5a2469115a7390b86367030049287f83e00a725d,,,,,,,,,jp,b,,,,,,,,,,,,
"Hana Taka Daka!",,8da7e11e88b160b132668f0558874ee8fe99b1af,,,,,,,,,jp,b,,,,,,,,,,,,
"Jigoku Meguri",,9f14f68c86d62cd8de6e9ea6243745532da3da79,,,,,,,,,jp,b,,,,,,,,,,,,
"Jinmu Denshou",,5ba65d4441d3338dbfaa8c4bc497b42fbd5ebe49,,,,,,,,,jp,,,,,,,,,,,,,
"Jinmu Denshou",,7960b56726da5b7e447b6ac0357c8c6028e61b86,,,,,,,,,jp,?,,,,,,,,,,,,
"Jigoku Meguri",,543ec9b94a6d92344ea5d5f3d58d8d9038c198c5,,,,,,,,,jp,?,,,,,,,,,,,,
"Jackie Chan's Action Kung Fu",,c59e4f89371b60261c3eed64a6ab89b218b6fd45,,,,,,,1992,"Hudson | Turbo Technologies",us,?,,"PC Engine compatible",,,,,,1,@,,,
